DATE,PRCP,TMAX,TMIN,NROWS
1901,6137,145.9972602739726,61.586301369863016,365
1902,5944,142.16164383561645,55.78082191780822,365
1903,5601,159.57808219178082,65.35890410958905,365
1904,5644,155.0601092896175,64.56830601092896,366
1905,5502,154.61917808219178,59.58082191780822,365
1906,5758,152.07671232876712,61.583561643835615,365
1907,3461,151.04383561643834,62.85479452054795,365
1908,5720,144.21857923497268,54.65573770491803,366
1909,5255,153.17808219178082,63.446575342465756,365
1910,6664,161.35342465753425,70.72054794520548,365
1911,4311,163.1260273972603,69.09041095890412,365
1912,5984,143.8169398907104,58.84699453551912,366
1913,3987,151.67945205479452,61.202739726027396,365
1914,5501,142.94520547945206,57.96986301369863,365
1915,7712,150.64383561643837,67.85753424657534,365
1916,5586,164.45355191256832,77.06284153005464,366
1917,4610,160.37260273972603,62.0027397260274,365
1918,5917,160.85753424657534,69.02191780821917,365
1919,7858,150.39178082191782,66.47671232876712,365
1920,5269,158.18852459016392,72.92349726775956,366
1921,3875,163.53424657534248,68.97534246575343,365
1922,6084,143.95068493150686,63.61095890410959,365
1923,4825,164.4191780821918,77.76986301369863,365
1924,5902,148.72131147540983,61.64754098360656,366
1925,6796,162.24383561643836,63.1945205479452,365
1926,5504,165.09315068493152,69.09041095890412,365
1927,6098,175.83013698630137,69.01643835616439,365
1928,3934,167.71038251366122,59.5,366
1929,5734,155.7945205479452,54.41095890410959,365
1930,4664,177.413698630137,76.21917808219177,365
1931,7200,159.93972602739726,63.75890410958904,365
1932,5956,153.1830601092896,60.295081967213115,366
1933,6284,147.6027397260274,56.153424657534245,365
1934,3784,176.95068493150686,80.3972602739726,365
1935,4551,166.13698630136986,63.59178082191781,365
1936,6566,169.24043715846994,72.73224043715847,366
1937,7737,167.48219178082192,76.58904109589041,365
1938,5380,165.33424657534246,66.2986301369863,365
1939,7338,165.06027397260274,69.27945205479452,365
1940,8673,133.36885245901638,45.275956284153004,366
1941,6958,146.2054794520548,60.62465753424657,365
1942,5885,150.52328767123288,55.36986301369863,365
1943,5587,170.33972602739726,66.8958904109589,365
1944,6365,157.0655737704918,66.3743169398907,366
