DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,5284.0,307.6319218241042,159.9862385321101,359,1.0
2001,4319.0,313.6753246753247,154.76470588235293,362,0.8173732021196064
2002,5028.0,312.97133757961785,157.99293286219083,359,1.164158369993054
2003,2903.0,294.50515463917526,135.9132075471698,351,0.5773667462211615
2004,3750.0,307.5566037735849,136.40540540540542,358,1.2917671374440234
2005,5715.0,304.88358208955225,142.91059602649003,364,1.524
2006,5193.0,309.60122699386505,154.74590163934425,362,0.9086614173228347
2007,4468.0,310.8616352201258,142.6640625,363,0.8603889851723474
2008,8345.0,305.6470588235294,143.94661921708186,365,1.8677260519247985
2009,2619.0,316.7543859649123,146.42264150943396,365,0.31384062312762134
2010,4104.0,307.8290322580645,153.96296296296296,360,1.5670103092783505
2011,5110.0,306.7142857142857,160.3942652329749,365,1.2451267056530215
2012,3981.0,311.8523676880223,156.1296928327645,366,0.7790606653620352
2013,9282.0,307.5344827586207,165.28187919463087,365,2.3315749811605126
2014,5980.0,304.87887323943664,148.67434210526315,364,0.6442577030812325
2015,6935.0,306.4176136363636,148.5016501650165,365,1.1596989966555185
2016,6056.0,308.48936170212767,166.12274368231047,366,0.8732516222062005
2017,3786.0,306.49333333333334,163.2734082397004,361,0.6251651254953765
2018,6724.0,308.06410256410254,161.86572438162543,364,1.7760169043845748
2019,5781.0,294.53881278538813,163.28195488721803,365,0.8597560975609756
2020,5353.0,299.72222222222223,164.15555555555557,366,0.925964366026639
2021,3659.0,301.18905472636817,162.78740157480314,362,0.6835419390995703
2022,3683.0,322.2798634812287,172.4183266932271,362,1.006559169171905
2023,7465.0,308.7049689440994,172.39834024896265,365,2.026880260657073
