DATE,PRCP,TMAX,TMIN,NROWS
1951,11809.0,200.8901098901099,92.99450549450549,365
1952,14210.0,198.56830601092895,96.47540983606558,366
1953,14990.0,198.25753424657535,99.5068493150685,365
1954,15018.0,199.2931506849315,101.02191780821917,365
1955,10072.0,204.68493150684932,100.66301369863014,365
1956,11985.0,194.65027322404373,95.05191256830601,366
1957,12335.0,196.8,93.0027397260274,365
1958,10154.0,202.96164383561643,102.75068493150685,365
1959,11464.0,209.3068493150685,107.33424657534246,365
1960,11325.0,206.87978142076503,100.40437158469945,366
1961,12141.0,209.56986301369864,106.67671232876712,365
1962,10789.0,204.86301369863014,96.05753424657534,365
1963,13137.0,195.13698630136986,97.28493150684932,365
1964,11165.0,207.86065573770492,103.10655737704919,366
1965,16204.0,197.86301369863014,85.43835616438356,365
1966,14151.0,199.34794520547945,94.6109589041096,365
1967,11595.0,205.74246575342465,97.05753424657534,365
1968,10640.0,199.8169398907104,93.89617486338798,366
1969,11660.0,200.13698630136986,94.2958904109589,365
1970,13665.0,197.60821917808218,97.87671232876713,365
1971,10885.0,201.35616438356163,97.07945205479452,365
1972,14680.0,200.9016393442623,101.17213114754098,366
1973,8805.0,201.66575342465754,97.96712328767123,365
1974,12060.0,196.65753424657535,93.33424657534246,365
1975,10190.0,201.05205479452056,103.16164383561645,365
1976,14660.0,193.5191256830601,92.70491803278688,366
1977,10690.0,204.15342465753426,100.81095890410958,365
1978,7890.0,207.60821917808218,101.87123287671233,365
1979,13165.0,208.24383561643836,104.55068493150685,365
1980,15315.0,191.9398907103825,94.91256830601093,366
1981,10930.0,195.0986301369863,93.4904109589041,365
1982,10575.0,200.09315068493152,104.11506849315069,365
1983,11035.0,205.64931506849314,118.36712328767123,365
1984,8185.0,197.64754098360655,112.36612021857924,366
1985,12180.0,202.71506849315068,118.52054794520548,365
1986,10715.0,197.5945205479452,110.63561643835617,365
1987,11010.0,206.6164383561644,117.98356164383561,365
1988,11575.0,197.37704918032787,112.55191256830601,366
1989,13305.0,204.52602739726026,119.81917808219178,365
1990,1758.0,258.84615384615387,181.30769230769232,17
1991,370.0,289.1666666666667,163.33333333333334,8
1992,1580.0,287.0,191.5,6
1993,11147.0,205.22981366459626,122.72121212121212,334
1994,4547.0,214.5826330532213,126.82901554404145,365
1995,8428.0,201.18770226537217,120.21081081081081,365
1996,7703.0,200.08474576271186,112.31428571428572,366
1997,7617.0,207.6906906906907,124.67391304347827,365
1998,10060.0,215.97406340057637,131.7578947368421,365
1999,9470.0,210.6973293768546,123.0923076923077,364
2000,6547.0,210.5623188405797,125.25520833333333,366
2001,8587.0,196.31803278688525,106.23529411764706,313
2002,6251.0,213.0976331360947,133.14204545454547,365
2003,10486.0,207.33819241982508,120.4088669950739,365
2004,12521.0,215.26589595375722,121.5427135678392,358
2006,12553.0,208.16573033707866,125.7548076923077,365
2007,7495.0,216.3613445378151,126.9795918367347,365
2008,9459.0,212.6573033707865,122.4039408866995,366
2009,10706.0,211.5966386554622,118.91304347826087,365
2010,11707.0,212.08139534883722,127.49751243781094,365
2011,13875.0,211.18367346938774,121.55940594059406,365
2012,11058.0,208.5679012345679,123.305,365
2013,13423.0,210.56373937677054,118.13145539906104,365
2014,11414.0,205.97790055248618,121.91787439613526,365
2015,13255.0,212.5593220338983,116.23300970873787,365
2016,15121.0,218.90112994350284,118.76767676767676,365
2017,11565.0,210.02808988764045,107.20183486238533,364
2018,13846.0,216.1643059490085,116.45588235294117,363
2019,9153.0,217.75920679886684,118.07,364
2020,10883.0,221.9345238095238,115.92899408284023,349
2021,11425.0,221.82234957020057,118.60732984293193,354
2022,8372.0,219.1045197740113,114.70588235294117,359
2023,5416.0,206.906015037594,108.4121212121212,277
2024,9891.0,232.44583333333333,132.29710144927537,251
