DATE,PRCP,TMAX,TMIN,NROWS
1902,1180.0,166.3586956521739,78.73770491803279,153
1903,3284.0,89.83383685800604,1.8436363636363637,365
1904,2621.0,,8.144859813084112,366
1905,2934.0,95.8976897689769,-37.59452054794521,365
1906,2216.0,52.130434782608695,-36.52876712328767,365
1907,3503.0,,-64.31661442006269,365
1908,1968.0,,12.158878504672897,366
1909,2220.0,-72.0,-42.5972602739726,365
1910,3071.0,50.894160583941606,-42.88219178082192,365
1911,1979.0,94.54790419161677,-54.29447852760736,365
1912,2338.0,75.59016393442623,-23.137614678899084,366
1913,1753.0,22.783882783882785,-74.17948717948718,273
1914,2806.0,106.74013157894737,-37.293150684931504,365
1915,3433.0,79.41095890410959,-8.328947368421053,365
1916,2880.0,101.29850746268657,-63.76393442622951,366
1917,2672.0,62.47794117647059,73.37016574585635,365
1918,480.0,,13.560747663551401,365
1922,2671.0,111.97282608695652,7.5978260869565215,184
1923,1795.0,90.76164383561644,-25.312328767123287,365
1924,2585.0,70.30601092896175,-41.19672131147541,366
1925,1910.0,91.25205479452055,-24.057534246575344,365
1926,2534.0,73.35097493036211,-34.85515320334262,360
1927,2616.0,83.54972375690608,-41.38356164383562,365
1928,2855.0,76.03790087463557,-59.93715846994535,366
1929,1313.0,79.72916666666667,-61.974169741697416,365
1930,2862.0,150.97454545454545,-31.504109589041096,365
1931,3333.0,148.88979591836735,-18.818991097922847,365
1932,2325.0,101.30952380952381,-19.166666666666668,336
1933,2309.0,94.49186991869918,-40.171052631578945,335
1934,2164.0,70.63561643835617,-57.652054794520545,365
1935,1955.0,82.81643835616438,-44.553424657534244,365
1936,1812.0,92.25956284153006,-38.60655737704918,366
1937,1461.0,77.69589041095891,-50.71232876712329,365
1938,3540.0,74.33424657534246,-44.42739726027397,365
1939,2721.0,76.43287671232876,-42.087671232876716,365
1940,2647.0,94.2865671641791,-49.54644808743169,366
1941,3502.0,103.20979020979021,-56.79178082191781,365
1942,3387.0,66.63013698630137,-49.556164383561644,365
1943,2277.0,76.52876712328766,-42.88767123287671,365
1944,2320.0,87.44535519125684,-27.21311475409836,366
1945,2433.0,64.44657534246575,-48.893150684931506,365
