DATE,PRCP,TMAX,TMIN,NROWS
1981,40.0,285.0,135.0,4
1982,1938.0,268.64285714285717,103.14634146341463,84
1983,5460.0,272.57416267942585,102.33004926108374,214
1984,5223.0,276.36893203883494,103.05853658536586,209
1985,1850.0,284.1734104046243,97.74137931034483,175
1986,2371.0,280.6641791044776,103.77611940298507,134
1987,2027.0,280.6258064516129,103.83333333333333,157
1988,1219.0,277.1,85.89655172413794,60
1989,547.0,300.0285714285714,127.8,40
1991,0.0,280.0,139.33333333333334,3
1992,1932.0,265.59574468085106,133.6727272727273,57
1993,6398.0,293.45454545454544,99.3932584269663,192
1994,4148.0,297.22222222222223,101.76543209876543,210
1995,6089.0,298.0103092783505,120.8840579710145,236
1996,5036.0,293.752,86.90789473684211,238
1997,4835.0,292.84615384615387,99.15384615384616,218
1998,2317.0,314.64406779661016,103.66101694915254,241
1999,3012.0,271.9310344827586,80.0,289
2000,2179.0,296.85806451612905,101.43225806451613,203
2001,3407.0,287.69871794871796,108.71794871794872,218
2002,1773.0,289.4384615384615,114.35384615384615,171
2003,2027.0,293.2368421052632,113.20394736842105,216
2004,5139.0,285.9622641509434,124.61006289308176,189
2005,1758.0,299.6170212765957,106.38297872340425,233
2006,6986.0,285.10928961748635,120.69945355191257,254
2007,3807.0,291.7318181818182,114.77727272727273,309
2008,3266.0,292.45185185185187,120.57777777777778,186
2009,2362.0,300.255033557047,118.46308724832215,203
2010,2678.0,289.3565217391304,130.31304347826088,173
2011,2388.0,294.70588235294116,129.42156862745097,160
2012,1551.0,293.8965517241379,120.49137931034483,177
2013,2322.0,292.52777777777777,120.52083333333333,195
2014,5005.0,290.4111675126904,122.09644670050761,237
2015,1664.0,297.3956043956044,133.43406593406593,218
2016,3035.0,296.57615894039736,136.66225165562915,211
2017,2926.0,295.26178010471205,123.19371727748691,262
2018,4203.0,291.1387283236994,132.92485549132948,228
2019,5236.0,290.7330097087379,128.58252427184465,256
2020,3150.0,296.3939393939394,132.1818181818182,242
2021,2271.0,296.1042944785276,129.41104294478527,204
2022,1047.0,302.28776978417267,108.00719424460432,150
2023,4424.0,301.21084337349396,135.56626506024097,220
2024,2590.0,313.2147239263804,130.079754601227,236
