DATE,PRCP,TMAX,TMIN,NROWS
1973,158.0,,,357
1974,1761.0,,,355
1975,0.0,,,355
1976,3396.0,,,355
1977,407.0,,,362
1978,280.0,,,299
1979,613.0,337.29323308270676,195.66666666666666,351
1980,846.0,325.668449197861,203.75,258
1981,198.0,329.72375690607737,199.4,320
1982,4074.0,282.79411764705884,227.00819672131146,353
1983,599.0,291.6101694915254,234.69387755102042,162
1984,3759.0,293.06722689075633,229.7685185185185,294
1985,12397.0,293.125,230.81205673758865,347
1986,14999.0,294.2695035460993,220.61290322580646,359
1987,9901.0,292.1779359430605,221.94285714285715,358
1988,24040.0,292.2662116040956,228.65472312703582,366
1989,17871.0,294.98091603053433,228.02230483271376,354
1990,15167.0,295.57575757575756,229.79553903345726,355
1991,15179.0,291.64686468646863,225.6271186440678,365
1992,14145.0,290.45849802371544,223.69858156028369,359
1993,10376.0,286.58256880733944,217.964,317
1994,11323.0,286.2573099415205,219.89105058365757,323
1995,13260.0,293.9279661016949,229.81918819188192,337
1996,15462.0,293.7787610619469,229.08185053380782,358
1997,13116.0,295.03846153846155,223.77700348432055,330
1998,15286.0,295.88652482269504,229.74358974358975,171
1999,11389.0,293.7922077922078,229.6534090909091,196
2000,17816.0,295.3448275862069,232.5,262
2001,6727.0,292.5625,230.7560975609756,156
2002,8075.0,286.8255813953488,227.86330935251797,174
2003,16427.0,294.53939393939396,223.42424242424244,267
2004,13167.0,285.15934065934067,223.62698412698413,293
2005,16649.0,290.42960288808666,225.50871080139373,351
2006,13319.0,285.252380952381,223.81730769230768,350
2007,18155.0,294.39112903225805,232.06060606060606,354
2008,11899.0,299.30252100840335,233.92168674698794,355
2009,15167.0,304.30204081632655,234.4268292682927,350
2010,11370.0,316.64285714285717,239.640350877193,337
2011,16053.0,301.25563909774434,237.0201342281879,363
2012,21395.0,306.00319488817894,234.08591065292097,363
2013,16122.0,311.996699669967,230.39285714285714,359
2014,15211.0,308.73251028806584,230.29910714285714,362
2015,14612.0,308.0,230.38846153846154,356
2016,10022.0,318.0772532188841,230.1258064516129,356
2017,11440.0,314.8655462184874,240.04651162790697,349
2018,9494.0,296.8173076923077,231.9741935483871,361
2019,437.0,290.54545454545456,235.45833333333334,189
2020,323.0,,,34
2022,21283.0,300.42290748898677,241.19411764705882,297
2023,189.0,311.75,250.75,17
