DATE,PRCP,NROWS
1950,9.0,1
1951,8961.0,365
1952,8075.0,366
1953,6202.0,365
1954,9052.0,365
1955,6876.0,365
1956,7770.0,366
1957,9298.0,365
1958,8781.0,365
1959,4554.0,365
1960,9236.0,366
1961,10252.0,365
1962,6778.0,365
1963,6719.0,365
1964,6093.0,366
1965,9976.0,365
1966,9955.0,365
1967,7823.0,365
1968,7873.0,366
1969,6800.0,365
1970,8371.0,365
1971,5308.0,365
1972,6664.0,366
1973,7101.0,365
1974,8256.0,365
1975,7542.0,365
1976,5684.0,366
1977,7434.0,365
1978,6362.0,365
1979,7129.0,365
1980,8136.0,366
1981,8789.0,365
1982,6829.0,365
1983,9046.0,365
1984,9120.0,366
1985,8012.0,365
1986,7743.0,365
1987,8311.0,365
1988,9638.0,366
1989,6467.0,365
1990,8335.0,365
1991,6263.0,365
1992,7562.0,366
1993,10535.0,365
1994,9761.0,365
1995,8231.0,365
1996,6765.0,366
1997,7742.0,365
1998,11882.0,365
1999,9047.0,365
2000,10473.0,366
2001,10520.0,365
2002,9160.0,365
2003,6775.0,365
2004,10227.0,366
2005,7854.0,365
2006,6940.0,365
2007,9426.0,365
2008,8349.0,366
2009,8630.0,365
2010,9025.0,365
2011,8836.0,365
2012,8746.0,366
2013,8351.0,365
2014,9347.0,365
2015,10611.0,365
2016,7634.0,366
2017,9584.0,365
2018,6657.0,365
2019,8671.0,365
2020,9104.0,366
2021,7721.0,346
2022,7085.0,365
2023,10762.0,365
2024,6475.0,225
