DATE,PRCP,NROWS
1895,9770.0,186
1896,16493.0,366
1897,18241.0,365
1898,18171.0,365
1899,16188.0,365
1900,13303.0,365
1901,14615.0,365
1902,14831.0,365
1903,17975.0,365
1904,14658.0,366
1905,18501.0,365
1906,19809.0,365
1907,17088.0,365
1908,15122.0,366
1909,16552.0,365
1910,18645.0,365
1911,18232.0,365
1912,16272.0,366
1913,16797.0,365
1914,17208.0,365
1915,12201.0,365
1916,20004.0,366
1917,19895.0,365
1918,15896.0,365
1919,12673.0,365
1920,20245.0,366
1921,18311.0,365
1922,15471.0,365
1923,21032.0,365
1924,18797.0,366
1925,17703.0,365
1926,17655.0,365
1927,19529.0,365
1928,16450.0,366
1929,19901.0,365
1930,18478.0,365
1931,16485.0,365
1932,18296.0,366
1933,11611.0,365
1934,21149.0,365
1935,18378.0,365
1936,15240.0,366
1937,11408.0,365
1938,24239.0,365
1939,16712.0,365
1940,15344.0,366
1941,14011.0,365
1942,18296.0,365
1943,18837.0,365
1944,18377.0,366
1945,13705.0,365
1946,18191.0,365
1947,12696.0,365
1948,17556.0,366
1949,19119.0,365
1950,16834.0,365
1951,15467.0,365
1952,15567.0,366
1953,18502.0,365
1954,19595.0,365
1955,14138.0,365
1956,15858.0,366
1957,20546.0,365
1958,13123.0,365
1959,14185.0,365
1960,12703.0,366
1961,18836.0,365
1962,18457.0,365
1963,15824.0,365
1964,17516.0,366
1965,13472.0,365
1966,16716.0,365
1967,26748.0,365
1968,15794.0,366
1969,15015.0,365
1970,17556.0,365
1971,18672.0,365
1972,15910.0,366
1973,18886.0,365
1974,19707.0,365
1975,17974.0,365
1976,13212.0,366
1977,17201.0,365
1978,16616.0,365
1979,20609.0,365
1980,17298.0,366
1981,21116.0,365
1982,20727.0,365
1983,23944.0,365
1984,14946.0,366
1985,15471.0,365
1986,20458.0,365
1987,14683.0,365
1988,19755.0,366
1989,21479.0,365
1990,23570.0,365
1991,18672.0,365
1992,24355.0,366
1993,15229.0,365
1994,18991.0,365
1995,19432.0,365
1996,15573.0,366
1997,18098.0,365
1998,20392.0,365
1999,21161.0,365
2000,21460.0,366
2001,16292.0,365
2002,15984.0,365
2003,18184.0,365
2004,22645.0,366
2005,20104.0,365
2006,20607.0,365
2007,22907.0,365
2008,21469.0,366
2009,21397.0,365
2010,14097.0,365
2011,23716.0,365
2012,23857.0,366
2013,20926.0,365
2014,21619.0,365
2015,24013.0,365
2016,17909.0,366
2017,27616.0,365
2018,19721.0,365
2019,20687.0,365
2020,28889.0,366
2021,17337.0,365
2022,19802.0,365
2023,22223.0,365
2024,14239.0,244
