DATE,PRCP,TMAX,TMIN,NROWS
1923,3317.0,,-59.61377245508982,336
1924,3222.0,,-49.28415300546448,366
1925,3911.0,,-54.679452054794524,365
1926,4813.0,,-53.172602739726024,365
1927,4242.0,,-59.1945205479452,365
1928,3984.0,,-58.44535519125683,366
1929,5362.0,,-48.512328767123286,365
1930,4071.0,,-30.087671232876712,365
1931,3090.0,,-51.635616438356166,365
1932,2883.0,,-44.34844192634561,366
1933,3329.0,,-37.4,365
1934,5275.0,,-30.339726027397262,365
1935,4605.0,,-49.97808219178082,365
1936,4257.0,,-50.65300546448088,366
1937,4224.0,,-42.92054794520548,365
1938,5698.0,,-29.183561643835617,365
1939,4449.0,,-50.657534246575345,365
1940,4302.0,,-66.68306010928961,366
1941,4019.0,,-72.61643835616438,365
1942,4307.0,,-66.71506849315068,365
1943,4722.0,,-43.827397260273976,365
1944,5448.0,,-49.549180327868854,366
1945,3965.0,,-49.9041095890411,365
1946,3930.0,,-47.8054794520548,365
1947,3687.0,,-64.85753424657534,365
1948,4743.0,,-44.91256830601093,366
1949,5311.0,,-39.1013698630137,365
1950,4895.0,,-46.9013698630137,365
1951,5096.0,,-51.87123287671233,365
1952,3709.0,,-61.631147540983605,366
1953,5111.0,,-31.78904109589041,365
1954,4886.0,,-55.35342465753425,365
1955,3183.0,,-61.62739726027397,365
1956,4628.0,,-57.73497267759563,366
1957,5249.0,37.153424657534245,-44.95890410958904,365
1958,4544.0,29.50958904109589,-61.43835616438356,365
1959,3356.0,50.16986301369863,-41.4986301369863,365
1960,3978.0,32.17486338797814,-57.47267759562842,366
1961,5240.0,42.28767123287671,-41.3013698630137,365
1962,4114.0,26.5972602739726,-57.90684931506849,365
1963,4334.0,37.71232876712329,-48.54520547945206,365
1964,5635.0,41.69398907103825,-50.557377049180324,366
1965,4434.0,27.75068493150685,-57.536986301369865,365
1966,4914.0,24.084931506849315,-65.73972602739725,365
1967,5272.0,34.44931506849315,-52.12054794520548,365
1968,3532.0,33.778688524590166,-52.677595628415304,366
1969,3566.0,35.38904109589041,-39.83835616438356,365
1970,2976.0,31.34246575342466,-42.42739726027397,365
1971,3319.0,39.52602739726027,-29.334246575342465,365
1972,4337.0,41.385245901639344,-31.603825136612024,366
1973,5217.0,38.323287671232876,-28.96712328767123,365
1974,3810.0,44.04109589041096,-25.328767123287673,365
1975,4421.0,50.010958904109586,-24.09315068493151,365
1976,3096.0,33.65573770491803,-41.74863387978142,366
1977,3315.0,32.07671232876712,-38.26301369863014,365
1978,3500.0,30.38082191780822,-42.298630136986304,365
1979,4592.0,25.493150684931507,-42.97260273972603,365
1980,4619.0,35.204918032786885,-38.330601092896174,366
1981,4748.0,32.032876712328765,-47.16438356164384,365
1982,3513.0,42.43287671232877,-31.926027397260274,365
1983,5153.0,43.30958904109589,-29.084931506849315,365
1984,5033.0,41.243169398907106,-28.8551912568306,366
1985,5836.0,28.323287671232876,-43.03013698630137,365
1986,4908.0,32.47123287671233,-39.42465753424658,365
1987,5177.0,30.671232876712327,-39.42465753424658,365
1988,5573.0,44.52732240437158,-28.0,366
1989,4956.0,49.723287671232875,-20.383561643835616,365
1990,5010.0,53.79178082191781,-17.26027397260274,365
1991,3875.0,46.701369863013696,-26.575342465753426,365
1992,5028.0,47.877049180327866,-27.295081967213115,366
1993,4870.0,36.29041095890411,-37.52054794520548,365
1994,4737.0,37.76986301369863,-36.06849315068493,365
1995,4285.0,40.73424657534247,-33.726027397260275,365
1996,4134.0,36.1448087431694,-40.08196721311475,366
1997,4766.0,46.347945205479455,-28.44109589041096,365
1998,4208.0,37.87945205479452,-32.5972602739726,365
1999,4872.0,45.413698630136984,-26.15890410958904,365
2000,5279.0,47.685792349726775,-20.55464480874317,366
2001,5088.0,37.342465753424655,-33.797260273972604,365
2002,3865.0,48.50684931506849,-27.0986301369863,365
2003,3882.0,52.61095890410959,-23.410958904109588,365
2004,4613.0,47.17486338797814,-25.546448087431695,366
2005,4884.0,48.632876712328766,-23.706849315068492,365
2006,4561.0,53.602739726027394,-21.084931506849315,365
2007,4909.0,45.728767123287675,-28.361643835616437,365
2008,4377.0,46.88251366120219,-29.983606557377048,366
2009,4137.0,48.11232876712329,-29.427397260273974,365
2010,3648.0,30.4986301369863,-50.18356164383562,365
2011,5951.0,57.43287671232877,-16.994520547945207,365
2012,4538.0,36.03005464480874,-35.87431693989071,366
2013,5395.0,48.895890410958906,-32.134246575342466,365
2014,3523.0,58.6986301369863,-14.802739726027397,365
2015,4114.0,53.75616438356165,-19.66849315068493,365
2016,4352.0,53.46994535519126,-26.718579234972676,366
2017,4252.0,57.646875,-18.28125,365
2018,4027.0,58.010958904109586,-26.75890410958904,365
2019,4842.0,50.1972602739726,-27.81095890410959,365
2020,4454.0,57.295081967213115,-16.270491803278688,366
2021,4076.0,49.224657534246575,-29.994520547945207,365
2022,4278.0,53.45479452054794,-25.46301369863014,365
2023,6475.0,43.95616438356164,-34.52054794520548,365
2024,4947.0,74.83783783783784,-10.989830508474576,296
