DATE,PRCP,NROWS,MULT
2000,14030.0,366,1.0
2001,16553.0,365,1.1798289379900213
2002,11692.0,365,0.7063372198393041
2003,15803.0,365,1.351607937050975
2004,17650.0,357,1.1168765424286529
2005,17793.0,365,1.0081019830028328
2006,12633.0,365,0.7099983139436857
2007,20958.0,365,1.6589883638090714
2008,17011.0,366,0.8116709609695582
2009,13682.0,365,0.8043030979954148
2010,12182.0,365,0.8903669054231838
2011,16649.0,365,1.3666885568872107
2012,15640.0,366,0.9393957595050754
2013,14047.0,365,0.8981457800511509
2014,11619.0,365,0.8271517049903894
2015,13481.0,365,1.1602547551424391
2016,17105.0,366,1.2688227876270306
2017,18984.0,365,1.1098509207833966
2018,11974.0,365,0.6307416772018541
2019,15151.0,365,1.2653248705528646
2020,18400.0,366,1.2144412910038942
2021,15452.0,365,0.8397826086956521
2022,18253.0,365,1.1812710328760032
2023,17298.0,365,0.9476798334520353
