DATE,PRCP,TMAX,TMIN,NROWS
1936,4708.0,27.396174863387976,-64.38524590163935,366
1937,3838.0,36.137724550898206,-71.56712328767124,365
1938,5139.0,63.43769968051118,-63.52054794520548,365
1939,4593.0,36.25753424657534,-51.917808219178085,365
1940,4290.0,3.5582089552238805,-70.51639344262296,366
1941,6792.0,8.2986301369863,-80.2931506849315,365
1942,4671.0,29.432876712328767,-54.07945205479452,365
1943,5113.0,36.345205479452055,-49.14520547945205,365
1944,5588.0,41.568306010928964,-40.81967213114754,366
1945,4665.0,23.263013698630136,-68.08493150684932,365
1946,4848.0,16.794520547945204,-72.7095890410959,365
1947,4787.0,15.254794520547945,-73.55342465753425,365
1948,5218.0,30.7896174863388,-61.66120218579235,366
1949,4942.0,23.235616438356164,-68.95068493150686,365
1950,4469.0,34.90684931506849,-59.865753424657534,365
1951,3930.0,34.465753424657535,-62.632876712328766,365
1952,4780.0,13.327868852459016,-83.35792349726776,366
1953,4652.0,25.068493150684933,-67.44109589041096,365
1954,4206.0,17.09041095890411,-76.08219178082192,365
1955,5438.0,27.076712328767123,-73.01095890410959,365
1956,5525.0,19.975409836065573,-75.47540983606558,366
1957,4703.0,24.389041095890413,-73.84383561643835,365
1958,4844.0,18.087671232876712,-79.64109589041095,365
1959,5816.0,18.257534246575343,-72.84931506849315,365
1960,5311.0,9.253521126760564,-89.30874316939891,366
1961,4787.0,32.14794520547945,-63.227397260273975,365
1962,4944.0,47.035616438356165,-43.56986301369863,365
1963,3782.0,36.23835616438356,-68.15616438356165,365
1964,3228.0,27.0,-81.1256830601093,366
1965,5870.0,30.964383561643835,-70.0054794520548,365
1966,5016.0,20.024657534246575,-89.04383561643836,365
1967,3901.0,51.76986301369863,-43.78082191780822,365
1968,4928.0,17.567123287671233,-89.37704918032787,366
1969,5583.0,5.013698630136986,-84.72876712328767,365
1970,4482.0,16.03287671232877,-78.78021978021978,365
1971,4891.0,33.89041095890411,-64.83561643835617,365
1972,5660.0,10.191256830601093,-87.7103825136612,366
1973,5579.0,34.728767123287675,-56.0958904109589,365
1974,5659.0,11.441095890410958,-84.1917808219178,365
1975,5423.0,28.6,-62.391780821917806,365
1976,4567.0,28.693989071038253,-71.44808743169399,366
1977,4982.0,26.13150684931507,-71.53698630136986,365
1978,4298.0,31.10958904109589,-59.20821917808219,365
1979,6318.0,22.923287671232877,-67.52054794520548,365
1980,5259.0,26.060109289617486,-66.93169398907104,366
1981,4629.0,46.88219178082192,-50.054794520547944,365
1982,4903.0,39.55068493150685,-61.295890410958904,365
1983,6832.0,47.55068493150685,-40.8027397260274,365
1984,4476.0,20.42896174863388,-73.59016393442623,366
1985,3539.0,25.345205479452055,-68.65205479452055,365
1986,6502.0,26.876712328767123,-54.9013698630137,365
1987,3275.0,25.942465753424656,-73.95068493150686,365
1988,3881.0,48.29234972677595,-53.19672131147541,366
1989,3368.0,50.342465753424655,-55.24931506849315,365
1990,6495.0,36.21095890410959,-57.37260273972603,365
1991,4159.0,46.02191780821918,-55.07945205479452,365
1992,4984.0,30.215846994535518,-68.25409836065573,366
1993,4241.0,41.26301369863014,-52.75616438356165,365
1994,4962.0,39.06849315068493,-62.63013698630137,365
1995,6415.0,62.44931506849315,-32.83013698630137,365
1996,4603.0,23.997267759562842,-71.01366120218579,366
1997,5235.0,34.8054794520548,-60.18904109589041,365
1998,4532.0,29.361643835616437,-73.28219178082192,365
1999,5171.0,31.295890410958904,-63.917808219178085,365
2000,6084.0,32.64754098360656,-63.295081967213115,366
2001,6258.0,32.227397260273975,-59.391780821917806,365
2002,5933.0,35.80821917808219,-54.30684931506849,365
2003,4158.0,54.73150684931507,-52.31506849315068,365
2004,4946.0,35.24590163934426,-63.122950819672134,366
2005,4514.0,52.73150684931507,-45.74520547945205,365
2006,4445.0,25.306849315068494,-74.07671232876713,365
2007,6622.0,51.75068493150685,-38.56712328767123,365
2008,5828.0,49.75136612021858,-43.48907103825137,366
2009,3915.0,28.35890410958904,-73.52054794520548,365
2010,6417.0,14.605479452054794,-72.41917808219178,365
2011,5956.0,47.6,-43.676712328767124,365
2012,3467.0,46.15846994535519,-51.34699453551912,366
2013,5578.0,43.367123287671234,-47.28767123287671,365
2014,5328.0,33.33972602739726,-59.04931506849315,365
2015,6607.0,50.07397260273972,-37.56986301369863,365
2016,4158.0,45.80874316939891,-48.73497267759563,366
2017,5134.0,48.75616438356165,-38.156164383561645,365
2018,6685.0,33.70958904109589,-57.76986301369863,365
2019,6017.0,50.28792569659443,-53.463157894736845,365
2020,6311.0,85.88698630136986,-23.795454545454547,366
2021,4521.0,48.644295302013425,-62.886877828054295,361
2022,4148.0,61.69607843137255,-49.87782805429864,365
2023,5589.0,63.81144781144781,-46.646511627906975,364
2024,5002.0,76.87596899224806,-33.48850574712644,288
