DATE,PRCP,TMAX,TMIN,NROWS
1983,70.0,314.22929936305735,163.36971830985917,365
1984,20.0,319.9909090909091,163.64214046822744,366
1985,0.0,315.2102102102102,168.16551724137932,365
1986,0.0,317.44728434504793,169.6818181818182,365
1987,0.0,322.1955719557196,166.21192052980132,365
1988,0.0,319.801261829653,170.50162866449512,366
1989,0.0,310.8776758409786,165.31715210355986,365
1990,1930.0,323.7160883280757,170.09666666666666,362
1991,0.0,329.2689873417722,169.24834437086093,359
1992,0.0,314.078125,168.38834951456312,366
1993,0.0,323.8145896656535,167.4939024390244,365
1994,0.0,330.0634441087613,176.21428571428572,364
1995,279.0,326.2640949554896,167.69023569023568,365
1996,0.0,329.8662613981763,164.52567975830814,364
1997,41.0,334.7761194029851,169.42763157894737,365
1998,0.0,339.7546583850932,164.01320132013203,364
1999,0.0,338.33130699088144,158.25705329153604,364
2000,0.0,341.93636363636364,161.396875,366
2001,0.0,335.19767441860466,166.80877742946709,365
2002,0.0,337.44985673352437,172.6920731707317,365
2003,0.0,343.34090909090907,167.61059190031153,364
2004,130.0,336.1300578034682,163.04320987654322,366
2005,0.0,338.9342857142857,169.9189189189189,365
2006,0.0,343.891495601173,173.3993710691824,365
2007,0.0,345.5282485875706,176.954128440367,365
2008,1379.0,341.8343023255814,171.72036474164133,366
2009,0.0,348.8168604651163,181.265243902439,365
2010,102.0,344.8519553072626,180.40173410404626,365
2011,81.0,344.10632183908046,181.1075581395349,364
2012,391.0,339.37016574585635,174.8985507246377,366
2013,20.0,335.5365168539326,175.01775147928993,365
2014,0.0,338.51704545454544,175.4766081871345,365
2015,0.0,340.57022471910113,182.2955223880597,365
2016,249.0,337.85057471264366,179.20882352941177,366
2017,0.0,302.1290322580645,177.2944606413994,365
2018,171.0,353.4917355371901,182.82461538461538,365
2019,119.0,349.5108225108225,189.38988095238096,365
2020,361.0,348.6928571428571,182.05,366
2021,81.0,341.6057971014493,178.33918128654972,362
2022,470.0,352.21785714285716,179.1504424778761,365
2023,0.0,348.65168539325845,188.0203488372093,365
2024,25.0,367.319587628866,210.57835820895522,290
