DATE,PRCP,TMAX,TMIN,NROWS
1975,0.0,,20.0,1
1977,0.0,140.0,-20.0,1
1978,20.0,120.0,,1
1979,0.0,330.0,170.0,1
1980,0.0,110.0,30.0,1
1981,0.0,226.0,102.0,5
1982,2337.0,192.96208530805688,72.18357487922705,228
1983,1122.0,192.91935483870967,62.21008403361345,269
1984,2400.0,196.74812030075188,67.17490494296578,288
1985,2340.0,200.8095238095238,63.25735294117647,275
1986,3955.0,201.73130193905817,51.77839335180055,365
1987,5749.0,206.83287671232875,62.9041095890411,365
1988,4541.0,207.63661202185793,55.505464480874316,366
1989,4107.0,217.7780821917808,67.8,365
1990,2847.0,215.63835616438357,60.09315068493151,365
1991,2912.0,227.92226148409895,64.50883392226149,292
1992,634.0,139.0,-6.533333333333333,152
1993,4219.0,198.64657534246575,53.0027397260274,365
1994,2928.0,217.68493150684932,54.88767123287671,365
1995,3688.0,219.2219178082192,65.35068493150685,365
1996,3473.0,214.95820895522388,61.525373134328355,335
1999,2838.0,228.71028037383178,74.21495327102804,214
2000,4423.0,202.0268656716418,44.42089552238806,335
2001,3568.0,213.42465753424656,58.87123287671233,365
2002,5276.0,212.03561643835616,64.65753424657534,365
2003,4639.0,221.4931506849315,65.72602739726027,365
2004,4291.0,205.01194029850745,51.95223880597015,335
2005,2890.0,216.95890410958904,47.73424657534247,365
2006,4170.0,216.76438356164383,64.56438356164384,365
2007,3296.0,205.4931506849315,53.21095890410959,365
2008,5264.0,191.0845921450151,44.58912386706949,331
2009,3693.0,217.53424657534248,56.8054794520548,365
2010,7161.0,195.87123287671233,60.723287671232875,365
2011,3601.0,211.03899721448468,79.12569832402235,365
2012,836.0,217.9890410958904,54.14520547945205,366
2013,0.0,201.04060913705584,47.52791878172589,197
2014,1692.0,159.97326203208556,27.732620320855617,189
2015,1740.0,217.2955223880597,60.95104895104895,365
2016,4431.0,229.12121212121212,108.1484375,366
2017,2214.0,159.66666666666666,111.45275590551181,365
2018,5181.0,231.55172413793105,107.64015151515152,361
2019,2984.0,139.17391304347825,101.61570247933884,352
2020,4112.0,216.65329512893982,107.70750988142292,365
2021,4545.0,216.3716814159292,100.28461538461538,359
2022,3817.0,205.8893280632411,119.81545064377683,352
2023,5237.0,221.6605504587156,110.53386454183267,363
2024,4292.0,230.6344537815126,116.06132075471699,278
