DATE,PRCP,TMAX,TMIN,NROWS
1952,5014.0,,,333
1953,3500.0,,,365
1954,5451.0,,,365
1955,4047.0,,,365
1956,4724.0,,,366
1957,5302.0,,,365
1958,6353.0,,,365
1959,3900.0,,,365
1960,6460.0,,,366
1961,5614.0,,,365
1962,5518.0,,,365
1963,4995.0,,,365
1964,3664.0,,,366
1965,6235.0,,,365
1966,5999.0,,,365
1967,5612.0,,,365
1968,6389.0,,,366
1969,5189.0,,,365
1970,6678.0,,,365
1971,3822.0,,,365
1972,4658.0,,,366
1973,4653.0,,,365
1974,5868.0,,,365
1975,3920.0,,,365
1976,4480.0,,,366
1977,6467.0,,,365
1978,5064.0,,,365
1979,5629.0,,,365
1980,5845.0,,,366
1981,618.0,,,31
1983,2154.0,,,214
1984,5583.0,,,366
1985,5843.0,,,365
1986,4563.0,,,365
1987,4616.0,,,365
1988,5707.0,,,366
2010,435.0,119.00653594771242,67.05882352941177,306
2011,0.0,115.12876712328767,66.93698630136986,365
2012,29.0,111.22131147540983,60.71311475409836,366
2013,4247.0,114.38082191780822,64.78904109589041,365
2014,6159.0,128.23013698630137,79.32054794520548,365
2015,3903.0,124.3890410958904,75.6986301369863,365
2016,3991.0,121.48907103825137,70.18579234972678,366
2017,5233.0,116.41643835616438,69.8,365
2018,3950.0,126.26575342465753,75.12328767123287,365
2019,4118.0,126.24931506849315,76.98356164383561,365
2020,3387.0,131.96174863387978,83.89617486338798,366
2021,5091.0,118.3945205479452,67.77260273972603,365
2022,3697.0,126.30958904109589,75.15616438356165,365
2023,4422.0,120.40821917808219,71.76438356164384,365
2024,3168.0,128.04508196721312,77.1311475409836,244
