DATE,PRCP,NROWS
1945,4984,365
1946,4120,365
1947,5014,365
1948,5100,366
1949,6410,365
1950,5856,365
1951,5253,365
1952,5812,366
1953,5999,365
1954,7376,365
1955,5150,365
1956,4658,366
1957,6714,365
1958,4618,365
1959,4824,365
1960,6201,366
1961,5384,365
1962,5032,365
1963,5481,365
1964,4742,366
1965,5088,365
1966,5443,365
1967,5806,365
1968,4673,366
1969,3361,365
1970,5003,365
1971,3981,335
1972,5312,366
1973,5809,365
1974,7126,365
1975,5458,365
1976,4384,366
1977,5774,365
1978,5558,365
1979,6565,365
1980,4975,366
1981,6501,365
1982,4728,365
1983,5347,365
1984,5695,366
1985,5475,365
1986,5404,365
1987,6172,365
1988,6439,366
1989,5095,365
1990,6034,365
1991,5330,365
1992,6637,366
1993,6912,365
1994,4797,365
1995,5614,365
1996,5341,366
1997,6077,365
1998,8210,365
1999,5440,365
2000,8034,366
2001,7733,365
2002,5256,365
2003,5174,365
2004,7553,366
2005,6403,365
2006,6069,365
2007,6186,365
2008,6552,366
2009,7346,365
2010,5544,365
2011,7167,365
2012,8766,366
2013,5484,365
2014,4258,365
2015,6358,365
2016,5443,366
2017,6598,365
2018,4625,365
2019,6179,365
2020,7235,366
2021,6647,365
2022,5192,334
