DATE,PRCP,TMAX,TMIN,NROWS
1951,13674.0,329.44931506849315,214.23287671232876,365
1952,11933.0,326.655737704918,213.4207650273224,366
1953,13329.0,323.8986301369863,219.05205479452056,365
1954,11915.0,329.73150684931505,208.52328767123288,365
1955,13028.0,324.2054794520548,205.04657534246576,365
1956,12608.0,322.7158469945355,207.61475409836066,366
1957,10989.0,332.1890410958904,212.86849315068494,365
1958,12721.0,328.9397260273973,215.1123287671233,365
1959,14002.0,330.3643835616438,217.33698630136988,365
1960,10051.0,331.1748633879781,216.21584699453553,366
1961,9496.0,325.8684931506849,216.03013698630136,365
1962,13539.0,322.4849315068493,211.6109589041096,365
1963,13584.0,318.73150684931505,211.96164383561643,365
1964,12914.0,323.92622950819674,215.59562841530055,366
1965,10780.0,326.35068493150686,215.35342465753425,365
1966,13178.0,331.6246575342466,220.4191780821918,365
1967,9204.0,325.6767123287671,210.63013698630138,365
1968,10860.0,334.21311475409834,215.68852459016392,366
1969,11256.0,333.8054794520548,221.83287671232875,365
1970,10158.0,331.9397260273973,218.56712328767122,365
1971,10208.0,321.7753424657534,209.1123287671233,365
1972,12473.0,333.2295081967213,219.87431693989072,366
1973,9603.0,334.1232876712329,218.42739726027398,365
1974,13120.0,324.86301369863014,215.06849315068493,365
1975,10414.0,327.041095890411,217.6904109589041,365
1976,9882.0,329.10109289617486,212.6120218579235,366
1977,8842.0,331.97534246575344,214.64657534246575,365
1978,7593.0,332.65479452054797,220.0849315068493,365
1979,6427.0,341.4027397260274,222.4794520547945,365
1980,13155.0,327.42076502732243,225.2622950819672,366
1981,9353.0,324.9917808219178,,365
1982,10440.0,324.6082191780822,,365
1983,12592.0,327.75068493150684,,365
1984,10157.0,325.09016393442624,,366
1985,12781.0,323.8712328767123,,365
1986,5715.0,329.7280701754386,218.32129963898916,364
1987,8846.0,331.1066282420749,226.53710247349824,365
1988,14301.0,325.12753623188405,223.8829431438127,366
1989,10466.0,329.801749271137,221.4257425742574,365
1990,9180.0,333.6144927536232,226.9358108108108,365
1991,8215.0,331.07082152974505,228.41580756013747,362
1992,11100.0,329.2676056338028,223.87261146496814,365
1993,17490.0,328.4786324786325,221.40273037542661,365
1994,26234.0,332.225988700565,224.41558441558442,365
1995,12624.0,328.2023121387283,225.66555183946488,365
1996,11403.0,323.42528735632186,222.75261324041813,366
1997,6210.0,335.7936962750716,227.71328671328672,365
1998,10231.0,343.2914285714286,233.05396825396826,364
1999,1766.0,323.80924855491327,224.48727272727274,364
2000,8034.0,323.8970588235294,223.95925925925926,366
2001,5773.0,330.74643874643874,230.45238095238096,365
2002,7559.0,333.628242074928,231.80208333333334,364
2003,9644.0,332.1972222222222,226.5836177474403,365
2004,10491.0,334.74858757062145,222.4641638225256,366
2005,14519.0,335.5354107648725,232.59515570934255,365
2006,10202.0,332.7403314917127,230.9041095890411,365
2007,13083.0,330.05,232.0909090909091,364
2008,14098.0,322.6694214876033,226.68512110726644,366
2009,13085.0,329.7209944751381,229.25597269624572,365
2010,13980.0,335.6208791208791,237.4612676056338,365
2011,12399.0,319.4027397260274,226.54642857142858,365
2012,10443.0,334.02465753424656,238.38275862068966,366
2013,13417.0,330.40771349862257,231.68904593639576,365
2014,10596.0,337.2054794520548,232.6006711409396,365
2015,11959.0,341.292817679558,235.73089700996678,363
2016,11314.0,340.3323943661972,236.91749174917493,358
2017,19476.0,331.4054054054054,233.99652777777777,365
2018,10846.0,332.9255319148936,234.08664259927798,364
2019,7027.0,346.04977375565613,237.18589743589743,365
2020,15133.0,340.24886877828055,235.69611307420496,366
2021,12392.0,331.35820895522386,230.96785714285716,362
2022,14547.0,328.7562724014337,231.2536231884058,365
2023,11583.0,345.1830357142857,238.52721088435374,365
2024,10352.0,354.54237288135596,243.45299145299145,288
