DATE,PRCP,NROWS
1951,1238.0,129
1952,3632.0,365
1953,3889.0,365
1954,3552.0,365
1955,4606.0,365
1956,2979.0,366
1957,5892.0,365
1958,3651.0,365
1959,3449.0,365
1960,2487.0,366
1961,4054.0,365
1962,4386.0,365
1963,4129.0,365
1964,4561.0,366
1965,5164.0,365
1966,1059.0,181
1967,2003.0,271
1968,3661.0,366
1969,2985.0,365
1970,4144.0,365
1971,4283.0,365
1972,3779.0,365
1973,3430.0,363
1974,5192.0,365
1975,5667.0,365
1976,3508.0,366
1977,3255.0,365
1978,5515.0,365
1979,2289.0,365
1980,3930.0,366
1981,2888.0,365
1982,4442.0,365
1983,3577.0,361
1984,2310.0,366
1985,2796.0,365
1986,3878.0,365
1987,3994.0,365
1988,3010.0,366
1989,3704.0,365
1990,2991.0,365
1991,4082.0,365
1992,3394.0,366
1993,3757.0,365
1994,3597.0,365
1995,3924.0,365
1996,3180.0,366
1997,4686.0,365
1998,3489.0,365
1999,2671.0,365
2000,3715.0,366
2001,3321.0,365
2002,2839.0,365
2003,3174.0,365
2004,2936.0,366
2005,3799.0,365
2006,3133.0,365
2007,3318.0,365
2008,3750.0,366
2009,3225.0,365
2010,2925.0,365
2011,4508.0,334
2012,1600.0,341
2013,3952.0,364
2014,4159.0,364
2015,3621.0,364
2016,3655.0,366
2017,4150.0,365
2018,4179.0,365
2019,4568.0,337
2020,2565.0,345
2021,2465.0,365
2022,3472.0,365
2023,5021.0,365
2024,2510.0,257
