DATE,PRCP,TMAX,TMIN,NROWS
1948,5386.0,,,184
1949,7460.0,,,363
1950,8848.0,,,362
1951,7956.0,,,271
1956,11662.0,,,366
1957,8212.0,,,364
1958,12355.0,,,365
1959,13088.0,,,365
1960,12360.0,,,366
1961,10979.0,,,334
1962,12427.0,,,365
1963,10128.0,,,365
1964,9396.0,,,366
1965,6958.0,,,365
1966,9234.0,,,365
1967,13415.0,101.6470588235294,22.529411764705884,365
1968,11092.0,,,335
1969,14114.0,,,334
1970,11132.0,,,365
1971,9688.0,,,365
1972,16470.0,,,366
1973,12522.0,,,365
1974,12307.0,,,365
1975,13704.0,,,365
1976,11545.0,,,366
1977,13852.0,,,365
1978,11751.0,,,365
1979,14262.0,,,365
1980,9148.0,,,306
1981,11451.0,,,365
1982,9521.0,,,273
1983,13596.0,,,273
1984,12201.0,,,287
1985,9872.0,,,365
1986,7647.0,,,273
1987,9777.0,,,306
1988,9892.0,,,366
1989,13286.0,,,365
1990,15035.0,,,365
1991,12848.0,,,365
1992,13175.0,,,366
1993,11779.0,,,364
1994,11839.0,,,335
1995,10805.0,,,365
1996,16613.0,,,366
1997,10737.0,,,365
1998,15196.0,,,365
1999,12232.0,,,365
2000,13222.0,,,366
2001,10868.0,,,365
2002,12805.0,,,365
2003,14739.0,,,365
2004,12156.0,190.0616113744076,79.31904761904762,366
2005,15847.0,156.09116022099448,43.86426592797784,365
2006,15081.0,165.0110497237569,54.671270718232044,365
2007,11680.0,156.95580110497238,43.483333333333334,365
2008,15286.0,158.8512396694215,42.55922865013774,366
2009,13846.0,151.20385674931129,40.9060773480663,365
2010,14935.0,169.4532967032967,55.9366391184573,365
2011,15981.0,167.88919667590028,54.46239554317549,365
2012,12051.0,174.9696132596685,60.93112947658402,366
2013,12159.0,163.86980609418282,49.1058495821727,365
2014,11526.0,157.35890410958905,42.22802197802198,365
2015,10018.0,164.54269972451792,43.59504132231405,365
2016,11023.0,173.2082191780822,53.145604395604394,366
2017,12332.0,165.09944751381215,53.40277777777778,365
2018,17372.0,163.2479338842975,57.187845303867405,365
2019,14236.0,159.33424657534246,49.295890410958904,365
2020,11874.0,172.8956043956044,60.14010989010989,366
2021,6213.0,144.31746031746033,32.62433862433863,189
2022,8306.0,,,245
2023,16557.0,,,364
2024,11024.0,,,290
