DATE,PRCP,TMAX,TMIN,NROWS
1980,1650.0,,,141
1981,7551.0,,,365
1982,8625.0,,,365
1983,8230.0,,,365
1984,6571.0,,,366
1985,6517.0,,,365
1986,8242.0,,,365
1987,5470.0,0.0,0.0,365
1988,5625.0,11.106508875739644,-34.88461538461539,366
1989,7554.0,78.13972602739726,-76.91506849315068,365
1990,6482.0,78.1972602739726,-82.64931506849315,365
1991,7108.0,77.5068493150685,-85.6109589041096,365
1992,7017.0,83.40710382513662,-76.34972677595628,366
1993,6448.0,65.1994382022472,-87.71267605633803,365
1994,6790.0,88.77620396600567,-79.22946175637394,365
1995,8590.0,71.2,-77.91208791208791,365
1996,9991.0,76.20491803278688,-75.23287671232876,366
1997,7042.0,79.61917808219178,-66.86813186813187,365
1998,7340.0,85.10958904109589,-50.27472527472528,365
1999,6969.0,86.90958904109588,-62.26648351648352,365
2000,6884.0,85.57650273224044,-60.80601092896175,366
2001,5696.0,91.04931506849314,-61.032967032967036,365
2002,6063.0,77.38356164383562,-67.2904109589041,365
2003,6200.0,90.09041095890412,-54.83516483516483,365
2004,6837.0,83.56557377049181,-51.156164383561645,366
2005,6861.0,83.91232876712328,-57.43956043956044,365
2006,6712.0,86.72876712328767,-56.6510989010989,365
2007,6886.0,95.26575342465753,-50.397260273972606,365
2008,6657.0,79.70765027322405,-66.84931506849315,366
2009,7366.0,80.12054794520547,-63.967123287671235,365
2010,6527.0,87.54520547945205,-55.043956043956044,365
2011,6880.0,79.08493150684932,-58.775342465753425,365
2012,6931.0,95.40983606557377,-44.959016393442624,366
2013,5630.0,83.47671232876712,-59.28767123287671,365
2014,7461.0,85.25205479452055,-52.45479452054794,365
2015,4826.0,97.4,-44.71232876712329,365
2016,6304.0,93.93442622950819,-43.98360655737705,366
2017,8490.0,87.30958904109589,-45.915068493150685,365
2018,6584.0,87.65181058495821,-53.768802228412255,359
2019,6027.0,76.71232876712328,-57.912328767123284,365
2020,5846.0,85.48360655737704,-57.81147540983606,366
2021,5434.0,89.4423076923077,-68.19636363636364,365
2022,7547.0,85.06027397260274,-63.50958904109589,365
2023,6812.0,84.55890410958904,-56.83561643835616,365
2024,3845.0,102.43933054393305,-42.53974895397489,239
