DATE,PRCP,TMAX,TMIN,NROWS
1970,0.0,,,93
1971,0.0,,,365
1972,0.0,,,366
1973,0.0,,,365
1974,0.0,,,365
1975,0.0,,,365
1976,0.0,,,366
1977,0.0,,,365
1978,1623.0,0.0,0.0,365
1979,3946.0,0.0,0.0,365
1980,7051.0,0.0,0.0,366
1981,5347.0,0.0,0.3719298245614035,365
1982,6769.0,72.89411764705882,-4.608870967741935,365
1983,5627.0,100.14332247557003,-37.39413680781759,365
1984,5424.0,135.70028011204482,-20.092436974789916,366
1985,4311.0,136.08767123287672,-37.18630136986302,365
1986,5113.0,159.93698630136987,-14.580821917808219,365
1987,3546.0,182.34191176470588,24.07945205479452,365
1988,4861.0,110.68181818181819,111.15573770491804,366
1989,6135.0,123.42465753424658,-14.734246575342466,365
1990,6070.0,126.22191780821917,-16.493150684931507,365
1991,4753.0,126.20821917808219,-12.75068493150685,365
1992,4704.0,134.0792349726776,-8.155737704918034,366
1993,5443.0,114.37393767705383,-22.121813031161473,365
1994,4710.0,143.14,-7.291428571428572,365
1995,5947.0,117.93956043956044,-16.093406593406595,365
1996,6208.0,120.90710382513662,-25.112021857923498,366
1997,5036.0,120.33424657534246,-13.736986301369862,365
1998,5982.0,135.88219178082193,-0.8575342465753425,365
1999,4146.0,134.82739726027398,0.7397260273972602,365
2000,4073.0,136.21584699453553,-1.592896174863388,366
2001,4959.0,139.17808219178082,0.18904109589041096,365
2002,4381.0,123.36438356164383,-6.8931506849315065,365
2003,5696.0,130.8027397260274,5.808219178082192,365
2004,4711.0,123.66939890710383,6.5109289617486334,366
2005,5396.0,123.23287671232876,-0.22465753424657534,365
2006,5266.0,133.9945205479452,6.117808219178082,365
2007,4503.0,135.68493150684932,6.189041095890411,365
2008,5439.0,119.09836065573771,-7.685792349726776,366
2009,4126.0,124.15068493150685,-6.054794520547945,365
2010,5263.0,121.76164383561644,0.2465753424657534,365
2011,6003.0,121.76164383561644,-1.2767123287671234,365
2012,5236.0,135.59562841530055,7.882513661202186,366
2013,4332.0,131.15890410958903,7.161643835616438,365
2014,6231.0,127.34794520547945,1.536986301369863,365
2015,4304.0,143.01643835616437,13.558904109589042,365
2016,5115.0,133.82513661202185,11.1448087431694,366
2017,6356.0,128.17808219178082,4.024657534246575,365
2018,6485.0,124.16758241758242,4.002747252747253,365
2019,5766.0,115.36538461538461,-6.010989010989011,365
2020,6357.0,126.2904109589041,2.2916666666666665,366
2021,4536.0,132.84615384615384,5.728021978021978,365
2022,5139.0,125.56986301369864,-2.129120879120879,365
2023,5137.0,130.4054794520548,6.2727272727272725,365
2024,3184.0,157.27027027027026,18.81972789115646,296
