DATE,PRCP,TMAX,TMIN,NROWS
1980,0.0,,,93
1981,0.0,,,365
1982,0.0,,,365
1983,0.0,,,365
1984,3142.0,,,366
1985,9179.0,,,365
1986,7252.0,,,365
1987,7729.0,,,365
1988,9535.0,,,366
1989,7293.0,,,365
1990,6987.0,,,365
1991,5903.0,,,365
1992,5848.0,,,366
1993,0.0,,,272
2004,3829.0,97.4125,6.09433962264151,197
2005,8491.0,55.56578947368421,-32.37280701754386,365
2006,7747.0,52.20664206642066,-36.19117647058823,365
2007,8948.0,65.58928571428571,-22.833333333333332,365
2008,8082.0,40.81967213114754,-43.986301369863014,366
2009,7094.0,60.47397260273973,-31.771978021978022,365
2010,7649.0,58.52328767123288,-28.136986301369863,365
2011,8215.0,50.9366391184573,-36.69146005509642,365
2012,9080.0,45.24863387978142,-44.30601092896175,366
2013,8716.0,64.4,-26.986301369863014,365
2014,7171.0,79.73351648351648,-11.669421487603305,365
2015,8793.0,72.34540389972145,-11.73611111111111,365
2016,9721.0,87.26775956284153,5.213114754098361,366
2017,7548.0,65.63561643835617,-15.652054794520549,365
2018,9000.0,53.48888888888889,-34.03333333333333,365
2019,10090.0,42.1,-23.80909090909091,365
2020,8626.0,66.95068493150686,-20.394520547945206,366
2021,8216.0,46.46153846153846,-30.898071625344354,365
2022,8489.0,58.95211267605634,-17.65014577259475,365
2023,5288.0,27.146853146853147,-43.89547038327526,308
2024,6666.0,66.83445945945945,-5.243243243243243,296
