DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,7113.0,51.37431693989071,-51.04644808743169,366,1.0
2001,5866.0,58.92328767123288,-45.07397260273972,365,0.8246871924645016
2002,6146.0,44.91232876712328,-59.57534246575342,365,1.0477326968973748
2003,7857.0,60.84931506849315,-42.03296703296704,365,1.2783924503742272
2004,7586.0,59.54918032786885,-40.29508196721312,366,0.9655084637902507
2005,7899.0,68.33698630136986,-38.33516483516483,365,1.0412602161877142
2006,6732.0,74.40821917808219,-38.58082191780822,365,0.8522597797189517
2007,9505.0,71.4,-39.19505494505494,365,1.4119132501485443
2008,8310.0,52.740437158469945,-47.967213114754095,366,0.8742766964755392
2009,6760.0,54.21643835616438,-44.654794520547945,365,0.8134777376654633
2010,6687.0,64.17260273972603,-35.87671232876713,365,0.9892011834319526
2011,9629.0,58.06027397260274,-41.09315068493151,365,1.439958127710483
2012,5237.0,73.21311475409836,-27.049180327868854,366,0.5438778689375844
2013,6935.0,60.71506849315068,-38.42465753424658,365,1.3242314302081344
2014,8059.0,57.035616438356165,-39.93150684931507,365,1.1620764239365537
2015,5665.0,73.56986301369864,-24.69041095890411,365,0.7029408115150763
2016,7677.0,69.54371584699453,-27.2103825136612,366,1.3551632833186231
2017,8545.0,63.86027397260274,-30.476712328767125,365,1.1130649993487038
2018,7375.0,62.37534246575343,-35.21917808219178,365,0.8630778232884728
2019,7579.0,55.68767123287671,-41.391780821917806,365,1.0276610169491525
2020,5979.0,63.69315068493151,-35.99452054794521,366,0.7888903549280908
2021,6080.0,66.63013698630137,-33.89041095890411,365,1.0168924569325974
2022,6962.0,57.64109589041096,-42.2958904109589,365,1.1450657894736842
2023,8035.0,56.73424657534247,-35.6958904109589,365,1.1541223786268313
