DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,4323.0,78.31693989071039,-14.898907103825136,366,1.0
2001,4270.0,84.36438356164383,-8.638356164383561,365,0.9877399953735831
2002,4017.0,69.62191780821918,-24.336986301369866,365,0.9407494145199063
2003,5138.0,83.72328767123288,-10.725274725274724,365,1.2790639780931043
2004,4373.0,79.95081967213115,-12.379781420765028,366,0.8511093810821331
2005,5060.0,86.04383561643836,-11.342465753424657,365,1.1571003887491424
2006,3616.0,90.3013698630137,-9.89041095890411,365,0.7146245059288537
2007,5589.0,92.73150684931508,-10.104109589041096,365,1.5456305309734513
2008,6429.0,75.94535519125684,-24.6775956284153,366,1.1502952227589909
2009,5436.0,76.17260273972603,-20.991780821917807,365,0.8455436304246383
2010,5594.0,86.56438356164384,-14.284931506849317,365,1.0290654893303899
2011,6154.0,82.24931506849315,-17.43013698630137,365,1.1001072577761888
2012,4855.0,97.62841530054644,-5.0710382513661205,366,0.7889177770555736
2013,5488.0,75.27945205479452,-22.46301369863014,365,1.1303810504634397
2014,6023.0,85.23013698630137,-15.704109589041096,365,1.0974854227405249
2015,4581.0,98.5041095890411,-0.873972602739726,365,0.7605844263655985
2016,5121.0,97.9672131147541,-1.6174863387978142,366,1.117878192534381
2017,6176.0,93.03013698630136,-6.4301369863013695,365,1.2060144503026753
2018,4197.0,90.86849315068493,-11.852054794520548,365,0.6795660621761658
2019,5955.0,80.98904109589041,-17.427397260273974,365,1.4188706218727662
2020,4200.0,94.85245901639344,-8.997267759562842,366,0.7052896725440806
2021,4882.0,94.64931506849317,-6.542465753424658,365,1.1623809523809523
2022,5746.0,84.90958904109588,-15.561643835616438,365,1.1769766489143794
2023,7251.0,85.35068493150685,-7.788461538461538,365,1.2619213365819701
