DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,4395.0,120.24043715846994,-38.52732240437158,366,1.0
2001,4736.0,124.56986301369864,-35.33150684931507,365,1.0775881683731514
2002,5495.0,107.91506849315068,-42.16986301369863,365,1.1602618243243243
2003,7756.0,118.81917808219178,-29.14794520547945,365,1.4114649681528662
2004,5441.0,121.15027322404372,-18.005464480874316,366,0.7015214027849407
2005,4888.0,122.51506849315068,-28.197260273972603,365,0.8983642712736629
2006,6660.0,129.15890410958903,-24.947945205479453,365,1.3625204582651391
2007,6459.0,129.54520547945205,-21.2054794520548,365,0.9698198198198198
2008,5893.0,117.29234972677595,-35.917808219178085,366,0.9123703359653197
2009,4778.0,117.64657534246577,-36.76164383561644,365,0.8107924656371966
2010,6081.0,120.45205479452056,-26.654794520547945,365,1.272708246128087
2011,7293.0,118.92328767123288,-27.895890410958906,365,1.1993093241243216
2012,6230.0,133.19945355191257,-18.56830601092896,366,0.854243795420266
2013,5489.0,124.24931506849316,-19.54520547945205,365,0.8810593900481541
2014,7272.0,119.5972602739726,-21.21917808219178,365,1.3248314811441064
2015,5549.0,132.2958904109589,-10.89041095890411,365,0.7630638063806381
2016,6084.0,127.70218579234972,-11.434426229508198,366,1.096413768246531
2017,7218.0,124.76438356164384,-21.194520547945206,365,1.1863905325443787
2018,6347.0,121.0,-24.70958904109589,365,0.8793294541424217
2019,6148.0,114.0082191780822,-33.227397260273975,365,0.9686466046951315
2020,6842.0,77.35655737704919,-52.19672131147541,366,1.11288223812622
2021,6517.0,129.64657534246575,-18.89041095890411,365,0.9524992692195264
2022,6141.0,123.81369863013698,-26.23013698630137,365,0.9423047414454504
2023,4276.0,132.47527472527472,-20.096153846153847,365,0.6963035336264453
