DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,7148.0,120.32876712328768,23.14010989010989,366,1.0
2001,7788.0,124.5041095890411,32.989041095890414,365,1.089535534415221
2002,6669.0,118.33698630136986,28.04383561643836,365,0.8563174114021571
2003,8341.0,126.83835616438355,37.9013698630137,365,1.2507122507122508
2004,8014.0,124.53698630136986,33.278688524590166,366,0.9607960676177917
2005,10802.0,126.10958904109587,32.989041095890414,365,1.3478911904167707
2006,9585.0,128.2219178082192,32.49041095890411,365,0.8873356785780411
2007,7807.0,134.55890410958904,35.90384615384615,365,0.8145018257694314
2008,9110.0,120.70765027322405,26.401639344262296,366,1.1669014986550532
2009,8590.0,116.52328767123288,26.30958904109589,365,0.9429198682766191
2010,10702.0,111.69041095890412,24.45730027548209,365,1.2458672875436554
2011,9035.0,111.7095890410959,22.65205479452055,365,0.8442347224817791
2012,9084.0,128.0792349726776,35.36065573770492,366,1.0054233536247925
2013,5754.0,123.8082191780822,30.493150684931507,365,0.6334214002642008
2014,9102.0,127.9013698630137,38.038356164383565,365,1.5818561001042752
2015,8038.0,132.84383561643835,43.5,365,0.8831026148099319
2016,7131.0,126.51912568306012,35.82142857142857,366,0.8871609853197313
2017,10576.0,124.45479452054796,34.925414364640886,365,1.4831019492357314
2018,6691.0,123.04931506849314,33.28219178082192,365,0.6326588502269289
2019,9311.0,114.2109589041096,27.65205479452055,365,1.3915707667015393
2020,8314.0,126.02459016393442,31.56164383561644,366,0.8929223499087101
2021,8218.0,128.83835616438355,36.704109589041096,365,0.9884532114505653
2022,8191.0,125.18356164383562,32.673972602739724,365,0.9967145290825018
2023,8698.0,115.4082191780822,29.676712328767124,365,1.0618972042485655
