Name,News,VAAC,Total
Sabancaya,16,1536,1552
Suwanose-jima,69,1405,1474
Fuego,34,1258,1292
Reventador,21,1198,1219
Sangay,32,1147,1179
Popocatépetl,29,685,714
Nevados de Chillán,15,587,602
La Palma,195,389,584
Semisopochnoi,65,485,550
Nevado del Ruiz,14,509,523
Karymsky,53,402,455
Etna,139,281,420
Sakurajima,53,339,392
Pacaya,44,247,291
Shiveluch,63,214,277
Dukono,29,213,242
Semeru,40,137,177
Sinabung,44,124,168
Ebeko,52,97,149
Lewotolo,59,87,146
Merapi,80,51,131
Klyuchevskoy,27,103,130
Soufrière St. Vincent,52,70,122
Ibu,17,89,106
Kilauea,84,6,90
Raung,19,65,84
Nyiragongo,31,38,69
Fagradalsfjall,64,0,64
Manam,10,51,61
Taal,48,12,60
Hunga Tonga-Hunga Ha'apai,9,46,55
Kadovar,13,38,51
Great Sitkin,41,6,47
Santiaguito,16,31,47
Pagan,9,37,46
Krísuvík,37,4,41
Stromboli,38,2,40
Chirinkotan,7,33,40
Yasur,13,26,39
Langila,11,28,39
Pavlof,28,11,39
Veniaminof,17,22,39
Piton de la Fournaise,35,2,37
Katmai,7,29,36
Fukutoku-Okanoba,13,21,34
White Island,31,0,31
Rincón de la Vieja,11,10,21
Krakatau,9,10,19
Sarychev Peak,15,4,19
Telica,8,10,18
Bagana,7,9,16
Grímsvötn,15,0,15
Novarupta,0,14,14
San Cristobal,7,7,14
Nishino-shima,4,8,12
Aso,8,4,12
Copahue,5,6,11
Aniakchak,2,8,10
Ulawun,6,4,10
Pinatubo,8,2,10
Vulcano,10,0,10
Turrialba,8,0,8
Karangetang,3,5,8
Gareloi,8,0,8
Villarrica,6,2,8
Kerinci,3,5,8
Ruapehu,7,0,7
Aoba,6,0,6
Asama,6,0,6
Askja,5,1,6
Bromo,5,0,5
Atka,5,0,5
Mayon,5,0,5
Cleveland,5,0,5
Laguna del Maule,4,0,4
Dieng,4,0,4
Pelée,4,0,4
Maunaloa,4,0,4
Davidof,4,0,4
Momotombo,1,2,3
Sirung,2,1,3
Tanaga,3,0,3
Iliwerung,3,0,3
Fernandina,3,0,3
Bulusan,3,0,3
Shishaldin,3,0,3
Kuchinoerabu-jima,3,0,3
Canlaon,2,0,2
Kavachi,2,0,2
Ugashik-Peulik,2,0,2
Ukinrek Maars,2,0,2
Quilotoa,0,2,2
Awu,2,0,2
Loihi,2,0,2
Agung,2,0,2
Heard,2,0,2
Kirishima,2,0,2
Ubinas,2,0,2
Nyamuragira,1,0,1
Mount Hood,1,0,1
Erta Ale,1,0,1
Rabaul (Tavurvur),1,0,1
Cerro Hudson,1,0,1
Savo,1,0,1
Furnas,1,0,1
Okmok,1,0,1
Kolumbo,1,0,1
Kunlun,1,0,1
Kikai,1,0,1
San Miguel,1,0,1
Campi Flegrei (Phlegrean Fields),1,0,1
Tinakula,1,0,1
Soufriere Hills,1,0,1
Iwo-jima,1,0,1
Hekla,1,0,1
