DATE,PRCP,TMAX,TMIN,NROWS
1966,0.0,305.7755102040816,150.26923076923077,80
1967,0.0,270.1060606060606,122.27692307692308,78
1973,0.0,348.44444444444446,179.25531914893617,107
1974,0.0,190.0,45.0,2
1982,0.0,205.8846153846154,74.08,26
1983,0.0,254.48888888888888,98.56043956043956,96
1984,0.0,233.63333333333333,63.36666666666667,31
1985,0.0,,92.0,1
1986,0.0,344.02884615384613,190.50925925925927,120
1987,0.0,303.25373134328356,134.74285714285713,74
1988,109.0,266.5308641975309,97.56521739130434,109
1989,0.0,306.55555555555554,139.01408450704224,84
1990,61.0,377.3085106382979,195.58163265306123,126
1991,0.0,304.45454545454544,143.72727272727272,52
1992,66.0,314.3915857605178,143.22360248447205,364
1993,355.0,323.6119402985075,152.9390243902439,365
1994,63.0,315.35333333333335,159.89802631578948,342
1995,1170.0,321.71826625386996,159.11897106109325,362
1996,499.0,325.6478405315615,164.6569579288026,361
1997,739.0,319.67477203647417,159.87261146496814,361
1998,300.0,321.81270903010034,163.47115384615384,355
1999,0.0,322.9658703071672,165.54635761589404,349
2000,614.0,322.373417721519,165.84590163934425,358
2001,427.0,337.21232876712327,164.66442953020135,355
2002,145.0,337.07169811320756,171.32542372881355,365
2003,90.0,335.9127272727273,175.15750915750917,362
2004,121.0,334.2564102564103,171.2344827586207,365
2005,614.0,327.8619402985075,173.5625,364
2006,259.0,336.1344262295082,169.92905405405406,365
2007,264.0,330.0709677419355,169.9124579124579,365
2008,91.0,321.61682242990656,167.85121107266437,366
2009,329.0,330.0311526479751,166.68954248366012,365
2010,98.0,347.2025316455696,183.85616438356163,364
2011,211.0,332.8496932515337,172.06811145510835,365
2012,568.0,316.8021978021978,170.4983606557377,366
2013,13.0,326.9714285714286,169.32876712328766,365
2014,13.0,336.25945945945944,175.8609022556391,365
2015,121.0,331.74603174603175,171.59362549800798,363
2016,20.0,359.218487394958,179.27777777777777,364
2017,94.0,328.25,174.1056603773585,365
2018,107.0,335.04,179.35365853658536,364
2019,131.0,261.0,167.85130111524163,365
2020,8.0,314.25,174.03010033444815,366
2021,211.0,360.6,185.84175084175084,359
2022,61.0,356.1693548387097,173.61666666666667,364
2023,6.0,331.5474683544304,176.1505376344086,365
2024,356.0,315.91379310344826,123.55319148936171,295
