DATE,PRCP,TMAX,TMIN,NROWS
1956,0.0,247.29,123.51672862453532,269
1957,0.0,287.74931129476585,156.17906336088154,363
1958,0.0,305.3526570048309,165.42776203966005,365
1959,0.0,286.55342465753426,163.84657534246574,365
1960,9372.0,294.4836065573771,154.36065573770492,366
1961,9296.0,299.03179190751445,171.43697478991598,365
1962,8415.0,291.17808219178085,144.72602739726028,365
1963,7751.0,306.413698630137,178.01643835616437,365
1964,6054.0,295.73770491803276,157.34972677595627,366
1965,9951.0,294.241095890411,165.77534246575343,365
1966,5233.0,300.3424657534247,161.6986301369863,365
1967,370.0,305.13424657534244,167.13150684931506,365
1968,1286.0,303.74043715846994,164.88251366120218,366
1969,0.0,306.97534246575344,168.25479452054793,365
1970,0.0,309.2904109589041,170.4,365
1971,0.0,295.15616438356165,161.16164383561645,365
1972,0.0,301.19398907103823,167.46994535519124,366
1973,1189.0,293.56986301369864,167.92876712328768,365
1974,5947.0,292.12602739726026,161.57534246575344,365
1975,309.0,296.9780821917808,169.15342465753426,365
1976,762.0,298.724043715847,159.38524590163934,366
1977,3806.0,302.7095890410959,177.12876712328767,365
1978,4318.0,309.56986301369864,170.65479452054794,365
1979,6163.0,296.50274725274727,172.4191780821918,365
1980,6466.0,294.59562841530055,170.87704918032787,366
1981,12524.0,293.0,169.6164383561644,365
1982,3406.0,288.18630136986303,173.24383561643836,365
1983,5621.0,288.73972602739724,162.15342465753426,365
1984,4515.0,291.4398907103825,171.07103825136613,366
1985,0.0,295.3424657534247,169.84657534246574,365
1986,0.0,300.87052341597797,171.64462809917356,365
1987,3870.0,297.3719008264463,160.68956043956044,365
1988,8788.0,299.6967213114754,158.15027322404373,366
1989,8172.0,296.2821917808219,158.79395604395606,365
1990,4284.0,302.82465753424657,169.0082191780822,365
1991,15085.0,295.37003058103977,166.74486803519062,363
1992,11569.0,283.4672131147541,161.5737704918033,366
1993,7277.0,301.0821917808219,164.7917808219178,365
1994,10810.0,302.5753424657534,173.7780821917808,365
1995,9379.0,304.58550724637684,163.94827586206895,364
1996,4761.0,292.5608308605341,154.79456193353474,365
1997,8838.0,312.8716417910448,175.35714285714286,361
1998,7813.0,291.6675824175824,161.8953168044077,365
1999,2782.0,295.1388888888889,160.0891364902507,365
2000,9261.0,292.9241573033708,160.6611111111111,365
2001,6027.0,304.36,170.88184438040346,365
2002,7479.0,308.262996941896,174.16923076923078,358
2003,8254.0,311.08708708708707,166.53799392097264,365
2004,6594.0,307.6869158878505,164.2863070539419,279
2007,0.0,,170.0,1
2009,1347.0,311.98214285714283,165.66176470588235,149
2010,6523.0,300.96992481203006,157.26258992805757,304
2011,7308.0,290.4343434343434,158.90308370044053,243
2019,810.0,378.77777777777777,220.73684210526315,23
2020,5837.0,331.26206896551724,176.67469879518072,363
2021,6689.0,325.593984962406,170.26153846153846,360
2022,3837.0,328.2781954887218,165.4984520123839,364
2023,6689.0,335.921875,221.5506329113924,361
2024,3704.0,324.3333333333333,175.01195219123505,286
