DATE,PRCP,TMAX,TMIN,NROWS
1750,1183.0,226.3671875,99.33333333333333,155
1891,0.0,,,92
1894,0.0,,,31
1895,0.0,,,31
1896,0.0,,,29
1897,0.0,,,59
1898,0.0,,,62
1899,0.0,,,62
1900,0.0,,,28
1901,0.0,,,31
1902,0.0,,,90
1903,0.0,,,59
1904,0.0,,,60
1907,4769.0,,,365
1908,3520.0,,,366
1909,4821.0,,,365
1910,4656.0,,,365
1911,2839.0,,,365
1912,3833.0,,,335
1913,4948.0,,,365
1914,2175.0,,,365
1915,5121.0,,,365
1916,4522.0,,,366
1917,6162.0,,,365
1918,5398.0,,,365
1919,3406.0,,,304
1920,4688.0,,,366
1921,5030.0,,,365
1922,4209.0,,,364
1923,5763.0,,,365
1924,4455.0,,,366
1925,3252.0,,,365
1926,6787.0,,,365
1927,4117.0,,,365
1928,4813.0,,,366
1929,4242.0,,,365
1930,5124.0,,,365
1931,4796.0,,,365
1932,6094.0,,,366
1933,4855.0,,,365
1934,5357.0,,,363
1935,4699.0,,,365
1936,4435.0,,,366
1937,4067.0,,,365
1938,3591.0,,,365
1939,6161.0,,,365
1940,3012.0,,,366
1941,4374.0,,,365
1942,4705.0,,,365
1943,4657.0,,,365
1944,2924.0,,,366
1945,6331.0,,,334
1946,6082.0,,,365
1947,4379.0,,,365
1948,4258.0,,,366
1949,4320.0,,,365
1950,3568.0,,,365
1951,5917.0,,,365
1952,4047.0,,,364
1953,5307.0,,,364
1954,3138.0,,,364
1955,7757.0,,,365
1956,4284.0,,,366
1957,4052.0,,,365
1958,4981.0,,,365
1959,3975.0,,,365
1960,4371.0,,,366
1961,4470.0,,,365
1962,4631.0,,,365
1963,6401.0,,,365
1964,6090.0,,,366
1965,4770.0,,,364
1966,4485.0,,,365
1967,5044.0,,,365
1968,5711.0,,,366
1969,3027.0,,,365
1970,4260.0,203.61811023622047,80.26877470355731,365
1971,4437.0,216.13636363636363,94.76373626373626,365
1972,2831.0,241.62912087912088,106.48360655737704,366
1973,4980.0,223.6821917808219,95.97808219178083,365
1974,5394.0,226.27671232876713,101.17808219178082,365
1975,4209.0,226.96438356164384,98.72527472527473,365
1976,4322.0,235.2295081967213,105.45628415300547,366
1977,3429.0,238.93972602739726,107.51506849315068,365
1978,4689.0,233.8082191780822,110.52876712328766,365
1979,2893.0,230.42061281337047,102.7068493150685,365
1980,3718.0,230.16666666666666,104.09016393442623,366
1981,4798.0,222.4931506849315,101.77808219178083,365
1982,4492.0,228.8,103.54520547945205,365
1983,5517.0,232.25824175824175,108.32602739726028,365
1984,4459.0,221.04371584699453,100.2896174863388,366
1985,3318.0,234.03013698630136,107.05205479452054,365
1986,4317.0,221.2479338842975,97.4423076923077,365
1987,3810.0,229.56164383561645,105.56986301369864,365
1988,4874.0,230.9153005464481,109.50413223140495,366
1989,3490.0,225.55890410958904,103.41483516483517,365
1990,4632.0,220.2861111111111,101.01666666666667,365
1991,4769.0,230.73076923076923,108.37912087912088,365
1992,4876.0,220.86980609418282,106.90140845070422,366
1993,4287.0,225.44505494505495,99.12154696132596,365
1994,2906.0,240.85479452054796,100.78571428571429,365
1995,4348.0,228.57808219178082,101.82417582417582,365
1996,4454.0,234.57103825136613,104.66666666666667,366
1997,3746.0,234.63835616438357,104.88493150684931,365
1998,4305.0,234.6164383561644,104.89285714285714,365
1999,5454.0,235.6,106.21978021978022,365
2000,4270.0,233.34444444444443,104.12087912087912,366
2001,3441.0,233.06442577030813,97.48245614035088,365
2002,2817.0,238.4169014084507,101.34277620396601,365
2003,4026.0,237.48333333333332,107.34444444444445,365
2004,3138.0,238.0054945054945,103.37637362637362,366
2005,4882.0,230.43561643835616,99.37465564738292,365
2006,3754.0,241.48219178082192,100.30337078651685,365
2007,4158.0,239.23835616438356,102.93112947658402,365
2008,4650.0,236.6813186813187,100.09722222222223,366
2009,4236.0,241.3526170798898,102.33608815426997,365
2010,1921.0,245.46027397260275,101.48055555555555,365
2011,5626.0,240.12328767123287,113.97513812154696,365
2012,3362.0,244.81147540983608,107.02472527472527,366
2013,4735.0,244.4435261707989,111.21883656509695,365
2014,4048.0,244.27397260273972,109.575,365
2015,3232.0,248.04815864022663,108.81844380403459,365
2016,4471.0,236.09121621621622,104.59298245614035,365
2017,5497.0,240.16382252559728,100.18481848184818,365
2018,4087.0,242.50306748466258,98.65030674846626,365
2019,3026.0,249.1826625386997,104.687306501548,365
2020,2848.0,250.25185185185185,110.13571428571429,359
2021,4804.0,237.43788819875778,107.61129568106313,362
2022,4379.0,243.61567164179104,87.88079470198676,365
2023,3369.0,238.8402555910543,95.08038585209003,362
