DATE,PRCP,NROWS
1933,3380.0,306
1934,2992.0,365
1935,2583.0,365
1936,3369.0,366
1937,2360.0,365
1938,1664.0,365
1939,4828.0,365
1940,1501.0,366
1941,2593.0,365
1942,3138.0,365
1943,1630.0,365
1944,1475.0,366
1945,2607.0,365
1946,3704.0,365
1947,3372.0,365
1948,2553.0,366
1949,3503.0,365
1950,4292.0,365
1951,3381.0,365
1952,3981.0,366
1953,1022.0,123
1954,3768.0,365
1955,4363.0,365
1956,6113.0,366
1957,2414.0,365
1958,3939.0,365
1959,3081.0,365
1960,4441.0,366
1961,3168.0,365
1962,2955.0,365
1963,4371.0,365
1964,3527.0,366
1965,2758.0,365
1966,3231.0,364
1967,1442.0,365
1968,3457.0,366
1969,3403.0,364
1970,3557.0,365
1971,4069.0,364
1972,1763.0,364
1973,6186.0,365
1974,5188.0,365
1975,3769.0,362
1976,2344.0,366
1977,2565.0,365
1978,4385.0,365
1979,4027.0,365
1980,3190.0,366
1981,3201.0,363
1982,1397.0,363
1983,3997.0,365
1984,2935.0,366
1985,3008.0,365
1986,4119.0,365
1987,2991.0,361
1988,3926.0,366
1989,3888.0,365
1990,2774.0,365
1991,2927.0,365
1992,5010.0,361
1993,4312.0,365
1994,1755.0,365
1995,3166.0,365
1996,2896.0,335
1997,2330.0,362
1998,3670.0,334
1999,3562.0,364
2000,3514.0,365
2001,2436.0,365
2002,1826.0,365
2003,3590.0,365
2004,2772.0,366
2005,3676.0,355
2006,1643.0,365
2007,3059.0,364
2008,2416.0,336
2009,3072.0,365
2010,4343.0,304
2011,2081.0,244
2012,1143.0,183
2013,2229.0,365
2014,2811.0,341
2015,1969.0,352
2016,3875.0,228
2017,2532.0,244
2018,1052.0,281
2019,1860.0,361
2021,1440.0,184
2022,1650.0,151
