DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,1830.0,218.1857923497268,91.72950819672133,366,1.0
2001,3420.0,224.14697406340056,99.80609418282548,365,1.8688524590163935
2002,5705.0,219.38028169014083,91.71309192200556,365,1.6681286549707601
2003,5743.0,229.79329608938548,96.10833333333332,365,1.006660823838738
2004,9518.0,236.07142857142856,97.35048231511254,366,1.6573219571652447
2005,5815.0,227.4756756756757,87.17821782178218,365,0.610947678083631
2006,4812.0,279.6875,89.67246376811595,364,0.8275150472914875
2007,6808.0,227.54497354497357,80.27246376811594,364,1.4147963424771406
2008,6022.0,249.1988950276243,94.1159420289855,364,0.8845475910693302
2009,2795.0,230.95495495495496,89.24736842105263,230,0.46413151776818334
2010,5345.0,231.8030303030303,81.79821958456974,365,1.9123434704830053
2011,5763.0,239.0390243902439,116.46875,365,1.0782039289055192
2012,4670.0,236.29255319148936,92.25360230547552,366,0.810341835849384
2013,5124.0,241.36507936507937,87.28783382789318,365,1.0972162740899358
2014,7908.0,230.83823529411765,88.49700598802396,365,1.5433255269320842
2015,6075.0,236.17277486911,81.35227272727273,365,0.7682094081942337
2016,4927.0,224.0360824742268,85.51612903225806,366,0.8110288065843622
2017,7450.0,238.3959390862944,90.6842105263158,365,1.512076314187132
2018,3864.0,238.33714285714285,89.37900874635568,364,0.5186577181208054
2019,4033.0,243.16022099447517,81.93432835820896,365,1.0437370600414078
2020,5809.0,235.8011049723757,86.64545454545454,366,1.4403669724770642
2021,7734.0,245.0752688172043,88.303125,362,1.3313823377517644
2022,5495.0,231.6529411764706,84.940625,365,0.7104990949056116
2023,3047.0,247.5497076023392,84.49068322981367,365,0.5545040946314832
