DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,3737.0,,,351,1.0
2001,3191.0,,,356,0.8538934974578539
2002,2497.0,,,357,0.7825133187088686
2003,3143.0,,,352,1.2587104525430517
2004,3256.0,,,339,1.0359529112313077
2005,3383.0,,,347,1.039004914004914
2006,1445.0,,,342,0.4271356783919598
2007,2827.0,,,343,1.956401384083045
2008,2833.0,,,350,1.0021223912274495
2009,2753.0,,,341,0.9717613836921991
2010,5193.0,,,295,1.8863058481656374
2011,3897.0,,,269,0.7504332755632582
2012,2982.0,,,229,0.7652040030792918
2013,3129.0,,,348,1.0492957746478873
2014,2879.0,,,316,0.9201022690955577
2015,2016.0,,,273,0.7002431399791594
2016,5119.0,,,264,2.539186507936508
2017,3928.0,,,203,0.7673373705801915
2018,2619.0,,,325,0.6667515274949084
2019,2412.0,,,327,0.9209621993127147
2020,2218.0,,,309,0.9195688225538972
2021,4478.0,,,329,2.018935978358882
2022,4870.0,,,302,1.0875390799464046
2023,2448.0,,,314,0.5026694045174538
