DATE,PRCP,TMAX,TMIN,NROWS
1958,7455.0,293.828125,172.85271317829458,171
1959,7461.0,304.0131578947368,177.44230769230768,207
1976,51.0,,,7
1977,2106.0,,225.0,83
1978,3856.0,,191.35416666666666,129
1979,3854.0,,191.8181818181818,196
1980,6464.0,,198.49056603773585,230
1981,3645.0,,194.27884615384616,231
1982,3172.0,305.47222222222223,208.51333333333332,192
1983,2091.0,293.60833333333335,197.27142857142857,179
1984,1160.0,304.1111111111111,202.3235294117647,163
1985,1686.0,300.69767441860466,186.9468085106383,135
1986,841.0,309.64285714285717,201.66666666666666,111
1987,3440.0,304.2162162162162,209.5374149659864,193
1988,8450.0,296.35377358490564,200.64,221
1989,3817.0,309.46276595744683,192.95580110497238,190
1990,2989.0,314.4972677595628,202.50819672131146,214
1991,11851.0,314.22945205479454,204.9894366197183,353
1992,8018.0,302.48790322580646,198.4857142857143,289
1993,5346.0,314.9529411764706,208.7109375,342
1994,10191.0,321.816,212.47035573122528,357
1995,9250.0,307.5546218487395,207.0235294117647,363
1996,7900.0,307.8037037037037,198.26315789473685,361
1997,12195.0,301.55029585798815,211.9253112033195,363
1998,4479.0,295.9,212.96527777777777,365
1999,2829.0,305.08988764044943,194.2513661202186,361
2000,9470.0,304.24313725490197,205.07806691449815,362
2001,6833.0,311.61960784313726,210.79044117647058,362
2002,3254.0,327.2040816326531,222.40714285714284,360
2003,7456.0,307.0468085106383,208.8671586715867,362
2004,8620.0,307.6395939086294,207.50915750915752,351
2005,6478.0,313.65482233502536,210.87142857142857,357
2006,8224.0,311.14285714285717,217.07664233576642,352
2007,6441.0,307.31162790697675,205.1401515151515,359
2008,7519.0,315.9234693877551,204.80377358490566,357
2009,428.0,321.4980392156863,203.6,364
2010,0.0,324.27777777777777,179.5,364
2011,56.0,321.8317307692308,187.66666666666666,365
2012,25.0,332.04347826086956,209.0,365
2013,58.0,316.4279661016949,212.5,362
2014,298.0,311.9568965517241,205.14285714285714,361
2015,3.0,325.5126050420168,210.66666666666666,364
2016,54.0,313.1967213114754,193.54545454545453,365
2017,633.0,320.31226765799255,180.3846153846154,360
2018,2655.0,312.6240875912409,210.73626373626374,365
2019,4998.0,362.7317073170732,196.5735294117647,364
2020,5075.0,336.2857142857143,212.37333333333333,209
2021,6996.0,340.8018867924528,184.2311320754717,244
2022,4138.0,345.46478873239437,192.99236641221373,293
2023,5123.0,349.6374269005848,209.60087719298247,275
2024,4137.0,362.3478260869565,201.4181818181818,213
