DATE,PRCP,TMAX,TMIN,NROWS
1950,10216.0,302.48805460750856,204.8532423208191,293
1951,20200.0,305.5068493150685,205.32634730538922,365
1952,14413.0,309.10149253731345,199.51408450704224,366
1953,13041.0,308.42739726027395,197.5917808219178,365
1954,14441.0,303.0219178082192,200.18904109589042,365
1955,17712.0,300.24931506849316,201.51232876712328,365
1956,14996.0,306.5245901639344,200.5846994535519,366
1957,12457.0,308.78356164383564,204.5972602739726,365
1958,11131.0,312.2301369863014,205.11780821917807,365
1959,8109.0,313.75690607734805,207.9060773480663,181
1960,13327.0,306.2714681440443,205.1246537396122,362
1961,19265.0,303.8794520547945,203.53424657534248,365
1962,20402.0,305.63835616438354,204.73698630136985,365
1963,13027.0,311.2712328767123,205.0082191780822,365
1964,12274.0,308.19398907103823,202.97540983606558,366
1965,9011.0,311.2600732600733,202.27472527472528,273
1967,14823.0,304.9972602739726,202.73698630136985,365
1968,17618.0,305.23497267759564,203.28688524590163,366
1969,22752.0,308.4931506849315,208.04657534246576,365
1970,17083.0,309.8537313432836,208.2179104477612,365
1971,12028.0,308.8082191780822,203.36438356164385,365
1972,14258.0,311.41803278688525,205.08196721311475,366
1973,15799.0,315.91506849315067,210.81095890410958,365
1974,16084.0,311.8103448275862,204.86206896551724,349
1975,13934.0,309.8164383561644,205.4082191780822,365
1976,17706.0,307.87704918032784,204.13387978142077,366
1977,14656.0,311.49041095890414,208.95068493150686,365
1978,15899.0,312.1013698630137,208.04109589041096,365
1979,15088.0,314.4328767123288,211.47123287671232,365
1980,17900.0,312.57923497267757,206.31967213114754,366
1981,9162.0,313.4166666666667,211.5151515151515,176
1982,11731.0,311.8888888888889,209.9909090909091,156
1983,1055.0,314.875,209.59259259259258,99
1984,4821.0,310.59016393442624,210.83076923076922,83
1985,5313.0,312.73493975903614,207.65853658536585,113
1986,10088.0,311.1060606060606,207.69718309859155,194
1987,470.0,302.25,218.33333333333334,17
1988,1959.0,303.04,209.15625,41
1989,57.0,310.14285714285717,206.25,19
1990,3412.0,308.6039603960396,209.09649122807016,142
1991,4439.0,308.328125,209.47191011235955,109
1992,333.0,319.94444444444446,208.1904761904762,28
1993,6488.0,311.0,209.819209039548,222
1994,5112.0,315.44086021505376,217.6951219512195,110
1995,4861.0,309.87142857142857,218.65217391304347,82
1996,4606.0,310.9339622641509,213.67256637168143,135
1997,866.0,319.5217391304348,216.4090909090909,28
2001,1289.0,,,20
2002,140.0,,,2
2009,0.0,,,18
2010,0.0,,,5
2011,1432.0,325.85,202.0,71
2012,3452.0,320.125,189.41463414634146,109
2013,2760.0,328.8679245283019,191.75438596491227,97
2014,6482.0,328.8333333333333,181.42857142857142,223
2015,5865.0,318.95454545454544,171.14655172413794,266
2016,8840.0,,170.87064676616916,235
2017,7257.0,330.0,159.6095890410959,158
2018,12169.0,338.75,155.16535433070865,310
2019,4757.0,320.0,,194
2020,6547.0,,184.0,211
2021,4639.0,315.0,,126
2022,8794.0,332.7894736842105,189.0,231
2023,4616.0,336.0833333333333,,192
2024,3145.0,358.0,,156
