DATE,PRCP,TMAX,TMIN,NROWS
1954,1787.0,102.91142857142857,-34.151428571428575,365
1955,1742.0,95.7068493150685,-39.397260273972606,365
1956,1442.0,90.77595628415301,-41.76229508196721,366
1957,1716.0,91.3917808219178,-33.654794520547945,365
1958,1985.0,101.3945205479452,-22.008219178082193,365
1959,2759.0,96.46027397260274,-25.40821917808219,365
1960,1429.0,98.65300546448087,-24.73224043715847,366
1961,1201.0,96.58904109589041,-32.41917808219178,365
1962,1086.0,95.07945205479452,-34.156164383561645,365
1963,1716.0,99.91506849315068,-30.205479452054796,365
1964,1729.0,97.64754098360656,-28.770491803278688,366
1965,1254.0,100.3013698630137,-31.084931506849315,365
1966,1639.0,98.64657534246575,-26.18904109589041,365
1967,3233.0,84.87397260273973,-35.55068493150685,365
1968,1072.0,98.7103825136612,-31.89344262295082,366
1969,2342.0,103.38630136986302,-26.84931506849315,365
1970,2368.0,90.57260273972602,-35.93972602739726,365
1971,1936.0,97.28219178082192,-24.504109589041096,365
1972,1250.0,106.74043715846994,-19.172131147540984,366
1973,1554.0,100.46301369863014,-22.578082191780823,365
1974,1641.0,96.26575342465753,-26.29041095890411,365
1975,1848.0,96.59452054794521,-27.797260273972604,365
1976,2380.0,93.54918032786885,-31.079234972677597,366
1977,1940.0,89.78904109589041,-29.186301369863013,365
1978,1491.0,98.73972602739725,-23.252054794520546,365
1979,1952.0,98.55890410958904,-26.24109589041096,365
1980,1873.0,100.52459016393442,-23.538251366120218,366
1981,2085.0,102.2,-19.06027397260274,365
1982,1915.0,97.09041095890412,-24.646575342465752,365
1983,1757.0,88.88493150684931,-35.23013698630137,365
1984,1348.0,97.58196721311475,-31.31967213114754,366
1985,1732.0,100.93424657534247,-24.64109589041096,365
1986,2303.0,96.47123287671234,-26.09315068493151,365
1987,2377.0,106.67671232876712,-17.224657534246575,365
1988,2376.0,103.89071038251366,-18.560109289617486,366
1989,3184.0,94.52328767123288,-24.583561643835615,365
1990,1711.0,107.4876712328767,-21.126027397260273,365
1991,1854.0,106.45479452054795,-21.09041095890411,365
1992,2300.0,98.3224043715847,-25.062841530054644,366
1993,1699.0,102.35342465753425,-21.8,365
1994,2122.0,109.31232876712329,-19.29041095890411,365
1995,1673.0,100.35616438356165,-25.89041095890411,365
1996,1747.0,107.85245901639344,-20.617486338797814,366
1997,2029.0,106.84931506849315,-20.24931506849315,365
1998,2137.0,117.00821917808219,-7.745205479452054,365
1999,1839.0,113.53150684931506,-12.06027397260274,365
2000,2124.0,104.44808743169399,-20.718579234972676,366
2001,1236.0,112.15616438356165,-15.665753424657535,365
2002,3376.0,108.36164383561643,-14.238356164383562,365
2003,1425.0,112.82191780821918,-13.191780821917808,365
2004,2706.0,106.49453551912568,-11.8224043715847,366
2005,2784.0,101.01643835616439,-24.153424657534245,365
2006,2426.0,112.7095890410959,-13.857534246575343,365
2007,2815.0,108.69589041095891,-22.364383561643837,365
2008,2298.0,101.1775956284153,-25.811475409836067,366
2009,2736.0,111.15890410958905,-17.043835616438358,365
2010,3187.0,112.53972602739726,-18.076712328767123,365
2011,2185.0,110.0958904109589,-23.898630136986302,365
2012,3007.0,99.39617486338798,-29.592896174863387,366
2013,1700.0,72.18807339449542,-36.21259842519685,365
2014,2171.0,105.7229916897507,-32.16923076923077,365
2015,2776.0,74.44262295081967,-28.868913857677903,365
2016,5116.0,-0.25925925925925924,-20.197628458498023,366
2017,6394.0,88.1,-22.075396825396826,365
2018,14501.0,119.525,-26.55686274509804,364
2019,17230.0,30.636363636363637,-29.18217054263566,365
2020,2882.0,119.22222222222223,-29.636612021857925,366
2021,3303.0,119.24022346368714,-33.22408963585434,362
2022,4240.0,124.04501607717042,-23.324758842443728,311
2023,1536.0,122.22972972972973,-26.946188340807176,223
2024,2231.0,150.94202898550725,3.2464454976303316,211
