DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,8309.0,104.27855153203345,-26.58203125,366,1.0
2001,7022.0,111.62393162393164,-22.97142857142857,365,0.8451077145264171
2002,7626.0,110.92156862745098,-25.23046875,364,1.0860153802335517
2003,7417.0,117.25070422535212,-19.82307692307692,365,0.9725937581956464
2004,7434.0,110.5598885793872,-22.383458646616543,366,1.0022920318187947
2005,6311.0,115.01662049861496,-12.097744360902256,365,0.8489373150390099
2006,5243.0,120.92957746478874,-16.120481927710845,365,0.8307716685152907
2007,5009.0,124.91111111111113,-22.26274509803921,364,0.9553690635132558
2008,6810.0,109.08539944903582,-25.40625,366,1.359552804951088
2009,6159.0,124.16298342541435,-17.404669260700388,365,0.9044052863436123
2010,7077.0,123.0,-19.18631178707224,365,1.1490501704822211
2011,8067.0,115.49035812672176,-26.90873015873016,365,1.1398897838066977
2012,6936.0,112.35616438356163,-19.95686274509804,366,0.8597991818519896
2013,6914.0,71.1978021978022,-28.684,365,0.9968281430219147
2014,6290.0,117.04444444444444,-22.79835390946502,365,0.9097483367081284
2015,7218.0,55.85714285714285,-25.75285171102661,365,1.1475357710651828
2016,7024.0,,-17.884328358208954,366,0.973122748683846
2017,7066.0,11.0,-18.877470355731223,365,1.0059794988610478
2018,9948.0,133.75,-19.2015503875969,364,1.4078686668553637
2019,8004.0,63.7093023255814,-27.736,365,0.804583835946924
2020,8711.0,125.21153846153848,-26.542936288088644,365,1.0883308345827087
2021,6322.0,137.11080332409972,-16.94413407821229,361,0.7257490529215934
2022,5741.0,131.08563535911605,-21.212707182320443,362,0.9080987029421069
2023,6012.0,125.36311239193084,-24.582132564841498,347,1.0472043198049121
