DATE,PRCP,TMAX,TMIN,NROWS,MULT
1950,10177,110.66301369863014,52.18904109589041,365,1.0
1951,9000,109.6986301369863,51.778082191780825,365,0.8843470570895156
1952,7961,103.47814207650272,41.57103825136612,366,0.8845555555555555
1953,6951,116.24383561643836,59.73698630136986,365,0.8731315161411883
1954,9755,103.9041095890411,45.983561643835614,365,1.4033951949359804
1955,6307,105.213698630137,41.01917808219178,365,0.6465402357765249
1956,6613,99.9207650273224,38.10928961748634,366,1.0485175202156334
1957,7179,111.02191780821916,51.273972602739725,365,1.085588991380614
1958,8677,103.91506849315068,44.36438356164384,365,1.2086641593536704
1959,6559,121.32876712328768,55.76712328767123,365,0.7559064192693327
1960,7984,107.51092896174865,48.96448087431694,366,1.217258728464705
1961,8623,114.33424657534246,59.01917808219178,365,1.0800350701402806
1962,7292,100.81643835616438,46.15890410958904,365,0.8456453670416328
1963,8351,98.4109589041096,40.14520547945205,365,1.1452276467361493
1964,6438,106.74590163934428,47.73224043715847,366,0.7709256376481859
1965,7436,102.13698630136986,44.94794520547945,365,1.1550170860515687
1966,9285,101.4027397260274,42.55068493150685,365,1.2486551909628834
1967,9590,113.26301369863012,57.73698630136986,365,1.0328486806677437
1968,8569,110.83879781420764,47.8551912568306,366,0.8935349322210636
1969,7790,103.9917808219178,43.26301369863014,365,0.9090909090909091
1970,8267,101.02465753424656,39.8027397260274,365,1.0612323491655968
1971,6488,111.74520547945204,52.38082191780822,365,0.784807064231281
1972,6623,106.9153005464481,48.2896174863388,366,1.0208076448828607
1973,5943,113.78082191780824,51.6958904109589,365,0.8973274950928583
1974,8590,116.96986301369864,56.28767123287671,365,1.4453979471647316
1975,6653,120.47123287671234,58.75342465753425,365,0.7745052386495925
1976,6419,107.68032786885246,45.830601092896174,366,0.9648278971892379
1977,8408,107.13972602739726,50.32602739726028,365,1.3098613491198006
1978,7957,105.1917808219178,48.24657534246575,365,0.946360608943863
1979,10365,93.63835616438357,38.057534246575344,365,1.3026266180721378
1980,9923,106.11475409836063,45.86338797814208,366,0.9573564881813796
1981,8578,103.36438356164383,44.10958904109589,365,0.8644563136148342
1982,9862,110.56164383561644,52.75890410958904,365,1.1496852413149918
1983,9740,113.11780821917807,57.30958904109589,365,0.9876292841208679
1984,8764,107.75136612021858,54.47267759562842,366,0.8997946611909651
1985,7931,97.013698630137,37.13424657534247,365,0.9049520766773163
1986,7271,101.013698630137,44.10958904109589,365,0.9167822468793343
1987,8389,96.07123287671232,40.43287671232877,365,1.1537615183606107
1988,8560,116.39071038251366,59.50546448087432,366,1.0203838359756825
1989,6109,122.71506849315068,64.81369863013698,365,0.7136682242990654
1990,9276,123.22739726027396,65.48493150684932,365,1.518415452610902
1991,6279,113.71232876712328,56.32876712328767,365,0.6769081500646831
1992,8261,122.5273224043716,59.93715846994535,366,1.31565535913362
1993,7280,107.14520547945206,47.23835616438356,365,0.8812492434329984
1994,8451,118.31232876712328,57.85479452054795,365,1.1608516483516484
1995,6706,114.84931506849315,51.63013698630137,365,0.7935155602887233
1996,5497,100.1311475409836,39.6448087431694,366,0.8197136892335222
1997,6282,117.56438356164384,55.93150684931507,365,1.1428051664544296
1998,8575,110.52054794520548,58.57808219178082,365,1.3650111429481058
1999,10863,121.0931506849315,63.14520547945205,365,1.2668221574344023
2000,9050,130.578125,74.20062695924764,366,0.833103194329375
2001,8510,113.93698630136986,55.03013698630137,365,0.9403314917127071
2002,8088,122.6,59.9010989010989,365,0.9504112808460634
2003,7055,116.23255813953487,51.25581395348837,365,0.8722799208704253
2004,8358,119.74043715846994,59.2103825136612,366,1.1846917080085047
2005,6747,119.71506849315068,60.53424657534247,365,0.8072505384063173
2006,9801,123.45479452054796,66.41369863013699,365,1.4526456202756781
2007,8494,124.9917808219178,68.54120879120879,365,0.8666462605856545
2008,8281,123.1671388101983,61.84702549575071,366,0.974923475394396
2009,7248,120.56712328767124,60.02739726027397,365,0.8752566115203478
2010,6544,99.35068493150683,36.24109589041096,365,0.9028697571743929
2011,8453,119.53698630136986,63.3041095890411,365,1.2917176039119804
2012,9516,,56.16939890710383,366,1.125754170117118
2013,7581,,52.92876712328767,365,0.7966582597730139
2014,9741,,72.8054794520548,365,1.2849228333992877
2015,10429,,65.2958904109589,365,1.0706292988399548
2016,6637,,63.833333333333336,366,0.6363985041710615
2017,8693,,66.7972602739726,365,1.3097785143890313
2018,7574,,68.33150684931506,365,0.8712757391004257
2019,10768,,74.31780821917808,365,1.421705835753895
2020,8570,,82.88524590163935,366,0.7958766716196136
