DATE,PRCP,TMAX,TMIN,NROWS,MULT
1950,5123.0,83.9945205479452,17.44931506849315,365,1.0
1951,3619.0,85.48219178082192,14.273972602739724,365,0.7064220183486238
1952,6305.0,74.31967213114754,10.166666666666666,366,1.7421939762365295
1953,4108.0,91.06027397260274,22.095890410958905,365,0.6515463917525773
1954,5010.0,82.63561643835617,17.632876712328766,365,1.2195715676728336
1955,4198.0,77.25479452054795,8.183561643835617,365,0.8379241516966068
1956,4820.0,71.07650273224044,2.83879781420765,366,1.1481657932348737
1957,7267.0,88.84383561643835,25.92328767123288,365,1.5076763485477178
1958,4554.0,75.75342465753425,8.046575342465754,365,0.6266685014448878
1959,3749.0,94.46027397260274,24.30958904109589,365,0.8232323232323232
1960,5364.0,81.68032786885246,8.98360655737705,366,1.4307815417444651
1961,4608.0,98.32328767123288,33.18630136986302,365,0.8590604026845637
1962,5421.0,79.43013698630136,15.27945205479452,365,1.1764322916666667
1963,3521.0,84.03013698630137,1.1342465753424658,365,0.6495111603025272
1964,3286.0,86.30874316939891,10.128415300546449,366,0.9332575972735019
1965,4624.0,79.9972602739726,8.468493150684932,365,1.407181984175289
1966,6479.0,74.59178082191781,3.602739726027397,365,1.4011678200692042
1967,5700.0,88.75616438356164,18.46027397260274,365,0.8797653958944281
1968,5169.0,80.68306010928961,10.46448087431694,366,0.9068421052631579
1969,5446.0,72.02191780821917,-4.66027397260274,365,1.053588701876572
1970,4760.0,77.04109589041096,5.342465753424658,365,0.8740359897172236
1971,4643.0,88.10958904109589,16.46849315068493,365,0.9754201680672269
1972,4979.0,94.4672131147541,23.852459016393443,366,1.0723670040921818
1973,5030.0,88.93972602739726,18.471232876712328,365,1.0102430206868849
1974,5703.0,92.81369863013698,30.24109589041096,365,1.1337972166998012
1975,5710.0,103.97808219178084,30.69041095890411,365,1.0012274241627215
1976,3812.0,69.98633879781421,0.5819672131147541,366,0.667600700525394
1977,5845.0,79.95890410958904,11.90958904109589,365,1.5333158447009443
1978,7034.0,72.57808219178082,1.6849315068493151,365,1.2034217279726263
1979,4862.0,87.20547945205479,13.465753424657532,365,0.6912141029286324
1980,5080.0,77.50819672131148,6.103825136612022,366,1.0448375154257508
1981,8602.0,83.66301369863014,18.21917808219178,365,1.6933070866141733
1982,4309.0,90.65479452054797,18.96712328767123,365,0.5009300162752848
1983,6815.0,96.96712328767124,28.315068493150687,365,1.581573450916686
1984,6464.0,89.96994535519126,22.174863387978142,366,0.9484959647835657
1985,5875.0,71.56438356164384,-0.5342465753424658,365,0.9088799504950495
1986,6124.0,86.11232876712329,14.128767123287671,365,1.0423829787234042
1987,6340.0,69.05479452054794,-2.745205479452055,365,1.0352710646636185
1988,4787.0,89.89617486338798,23.00546448087432,366,0.7550473186119874
1989,5900.0,107.07397260273972,40.4986301369863,365,1.232504700229789
1990,6908.0,95.12054794520547,30.583561643835612,365,1.1708474576271186
1991,5895.0,92.5972602739726,30.73972602739726,365,0.853358425014476
1992,5497.0,96.04098360655738,31.33333333333333,366,0.9324851569126378
1993,5726.0,84.54246575342465,17.134246575342466,365,1.0416590867746043
1994,4734.0,89.20547945205479,15.884931506849314,365,0.826755151938526
1995,5704.0,99.11232876712327,27.556164383561644,365,1.204900718208703
1996,4360.0,84.60109289617486,7.953551912568306,366,0.7643758765778401
1997,4284.0,93.21917808219176,20.134246575342463,365,0.9825688073394495
1998,5904.0,89.00821917808219,17.243835616438357,365,1.3781512605042017
1999,6855.0,103.73424657534248,26.156164383561645,365,1.1610772357723578
2000,5562.0,104.0,35.385245901639344,366,0.8113785557986871
2001,6599.0,94.63013698630137,24.68219178082192,365,1.1864437252786768
2002,4701.0,98.9068493150685,26.216438356164385,365,0.7123806637369299
2003,5896.0,90.12602739726027,20.76986301369863,365,1.2542012337800468
2004,6594.0,94.5327868852459,27.02185792349727,366,1.1183853459972863
2005,5329.0,96.77534246575344,28.2027397260274,365,0.808158932362754
2006,4003.0,103.38356164383562,27.389041095890413,365,0.7511728279226871
2007,5785.0,103.46027397260274,35.09041095890411,365,1.4451661254059456
2008,8119.0,100.4153005464481,40.99726775956284,366,1.403457216940363
2009,6535.0,91.55068493150684,27.64109589041096,365,0.8049020815371352
2010,5932.0,88.08767123287672,14.906849315068492,365,0.9077276205049732
2011,5813.0,102.78082191780824,32.47945205479452,365,0.9799393122049899
2012,8118.0,87.81147540983606,19.174863387978142,366,1.3965250301049372
2013,4986.0,102.89041095890413,31.413698630136988,365,0.614190687361419
2014,5902.0,103.05205479452054,38.76438356164383,365,1.1837144003208986
2015,4635.0,108.15890410958905,46.38356164383562,365,0.7853270077939681
2016,7550.0,96.1639344262295,38.66393442622951,366,1.62891046386192
2017,5611.0,91.95068493150686,36.38082191780822,365,0.7431788079470198
2018,3736.0,104.24657534246576,39.36164383561644,365,0.6658349670290501
2019,5828.0,106.6054794520548,44.20821917808219,365,1.5599571734475375
2020,5472.0,111.09289617486338,53.887978142076506,366,0.9389155799588195
