DATE,PRCP,NROWS,MULT
1950,6328,365,1.0
1951,3928,365,0.6207332490518331
1952,6971,366,1.77469450101833
1953,5805,365,0.8327356189929709
1954,6430,365,1.107665805340224
1955,5554,365,0.8637636080870917
1956,6478,366,1.16636658264314
1957,6891,365,1.063754245137388
1958,4824,365,0.7000435350457118
1959,4970,365,1.0302653399668324
1960,6792,366,1.366599597585513
1961,5909,365,0.8699941107184923
1962,5986,365,1.0130309697072262
1963,4752,365,0.7938523220848647
1964,4903,366,1.0317760942760943
1965,6172,365,1.2588211299204568
1966,6395,365,1.0361309138042774
1967,7635,365,1.1939014855355747
1968,5750,366,0.7531106745252129
1969,5112,365,0.8890434782608696
1970,5814,365,1.1373239436619718
1971,6269,365,1.0782593739250086
1972,6379,366,1.017546658159196
1973,6107,365,0.9573600877880546
1974,6969,365,1.141149500573113
1975,4613,365,0.6619314105323576
1976,4229,366,0.9167569911120745
1977,6613,365,1.5637266493260817
1978,6406,365,0.9686980190533797
1979,6364,365,0.99344364658133
1980,7443,366,1.1695474544311755
1981,8269,365,1.1109767566841326
1982,5585,365,0.6754141976055146
1983,5556,365,0.9948075201432408
1984,6644,366,1.1958243340532757
1985,6096,365,0.917519566526189
1986,6734,365,1.1046587926509186
1987,7195,365,1.0684585684585686
1988,7533,366,1.0469770674079222
1989,5514,365,0.7319792911190761
1990,6237,365,1.131120783460283
1991,6366,365,1.0206830206830206
1992,7093,366,1.114200439836632
1993,6502,365,0.9166784153390667
1994,6350,365,0.9766225776684098
1995,6034,365,0.9502362204724409
1996,5006,366,0.8296320848525025
1997,6190,365,1.2365161805833
1998,6516,365,1.052665589660743
1999,7391,365,1.1342848373235113
2000,6283,366,0.850087944797727
2001,7561,365,1.203406016234283
2002,4729,365,0.6254463695278403
2003,4831,365,1.0215690420807781
2004,6359,366,1.316290623059408
2005,5345,365,0.8405409655606227
2006,5049,365,0.9446211412535079
2007,8017,365,1.5878391760744701
2008,7515,366,0.9373830609953848
2009,6158,365,0.8194278110445775
2010,6988,365,1.1347840207859694
2011,7732,365,1.1064682312535776
2012,8515,366,1.1012674599068806
2013,5445,365,0.6394597768643571
2014,5427,365,0.996694214876033
2015,5370,365,0.9894969596462134
2016,4594,366,0.8554934823091248
2017,6577,365,1.4316499782324772
2018,5601,364,0.8516040748061426
2019,6750,365,1.205141938939475
2020,6092,366,0.9025185185185185
