DATE,PRCP,TMAX,TMIN,NROWS
1898,23.0,,,1
1899,4334.0,,,365
1900,4893.0,,,365
1901,4075.0,,,334
1902,5540.0,,,365
1903,5795.0,,,365
1904,4838.0,,,366
1905,5048.0,,,365
1906,4410.0,,,365
1907,5756.0,,,365
1908,4209.0,,,366
1909,5591.0,,,365
1910,4632.0,,,365
1911,3176.0,,,365
1912,4196.0,,,366
1913,3940.0,,,365
1914,2620.0,,,273
1915,366.0,,,89
1919,5.0,,,1
1920,4737.0,89.81967213114754,49.90163934426229,366
1921,3458.0,87.96164383561644,45.512328767123286,365
1922,4643.0,74.64931506849315,30.263013698630136,365
1923,6152.0,74.0958904109589,36.33424657534247,365
1924,4899.0,84.39071038251366,36.72677595628415,366
1925,4703.0,90.81369863013698,48.11780821917808,365
1926,4439.0,81.15890410958905,34.98082191780822,365
1927,6741.0,82.97534246575343,42.15890410958904,365
1928,5800.0,75.89071038251366,38.740437158469945,366
1929,4139.0,75.91506849315068,30.610958904109587,365
1930,3995.0,97.17534246575343,52.706849315068496,365
1931,4840.0,74.95068493150686,28.53972602739726,365
1932,5312.0,89.57650273224044,43.69125683060109,366
1933,3482.0,78.40547945205479,32.583561643835615,365
1934,5979.0,102.63561643835617,57.846575342465755,365
1935,6143.0,85.23835616438356,42.271232876712325,365
1936,6004.0,90.9322033898305,49.923497267759565,366
1937,4978.0,94.8958904109589,47.31506849315068,365
1938,4898.0,99.06027397260274,56.967123287671235,365
1939,3486.0,93.31232876712329,47.391780821917806,365
1940,4716.0,72.93442622950819,19.185792349726775,366
1941,3821.0,65.43343653250774,11.006191950464396,365
1942,3821.0,63.66027397260274,10.652054794520549,365
1943,4717.0,96.61643835616438,54.47123287671233,365
1944,3058.0,95.72619047619048,42.869127516778526,306
1945,4892.0,98.24850299401197,42.21917808219178,365
1946,331.0,-8.571428571428571,,30
1947,82.0,-32.645161290322584,,31
1949,4571.0,118.89830508474576,69.38291139240506,335
1950,5141.0,88.5068493150685,45.18630136986302,365
1951,3834.0,89.82465753424657,41.0027397260274,365
1952,6320.0,78.03825136612022,35.1448087431694,366
1953,5521.0,92.9972602739726,51.26575342465753,365
1954,5344.0,85.38630136986302,39.98082191780822,365
1955,4670.0,83.53698630136986,35.88767123287671,365
1956,5004.0,72.1311475409836,23.407103825136613,366
1957,5668.0,88.06301369863014,44.93150684931507,365
1958,4370.0,82.5095890410959,34.35342465753425,365
1959,4643.0,92.91506849315068,47.54794520547945,365
1960,4913.0,84.81147540983606,35.69672131147541,366
1961,5789.0,101.18904109589042,57.61643835616438,365
1962,5698.0,82.12876712328767,37.986301369863014,365
1963,4861.0,87.07671232876713,28.246575342465754,365
1964,4327.0,88.25136612021858,42.69945355191257,366
1965,4959.0,84.03013698630137,37.821917808219176,365
1966,4998.0,76.55068493150685,28.734246575342464,365
1967,7381.0,91.40547945205479,45.73972602739726,365
1968,4233.0,87.66939890710383,37.068306010928964,366
1969,4715.0,79.37534246575342,25.506849315068493,365
1970,5543.0,79.92328767123287,30.304109589041097,365
1971,5795.0,91.46027397260274,44.85753424657534,365
1972,5391.0,91.47814207650273,46.22950819672131,366
1973,5916.0,93.55616438356165,48.3013698630137,365
1974,6965.0,93.6,53.41095890410959,365
1975,4991.0,106.27945205479452,60.87945205479452,365
1976,4385.0,75.4535519125683,28.05464480874317,366
1977,6026.0,80.7068493150685,37.50410958904109,365
1978,6659.0,77.37534246575342,31.041095890410958,365
1979,4886.0,82.58630136986301,35.15068493150685,365
1980,6226.0,87.83060109289617,35.849726775956285,366
1981,7076.0,89.63013698630137,42.94794520547945,365
1982,5340.0,93.0054794520548,48.156164383561645,365
1983,5451.0,99.00821917808219,53.85479452054795,365
1984,6649.0,96.54371584699453,51.63934426229508,366
1985,5902.0,74.4931506849315,28.054794520547944,365
1986,5901.0,84.16438356164383,38.53972602739726,365
1987,6054.0,74.78082191780823,24.706849315068492,365
1988,6697.0,91.68306010928961,46.97540983606557,366
1989,5823.0,105.21095890410959,63.1945205479452,365
1990,7192.0,97.61377245508982,55.07784431137725,365
1991,3254.0,52.136792452830186,11.433962264150944,243
1992,6367.0,101.18306010928961,58.40710382513661,366
1993,5432.0,90.2,46.50684931506849,365
1994,5938.0,88.56712328767124,44.24931506849315,365
1995,4817.0,94.9972602739726,54.52602739726027,365
1996,4577.0,81.69945355191257,36.13934426229508,366
1997,5211.0,95.32328767123288,53.45753424657534,365
1998,5622.0,89.32328767123288,50.07123287671233,365
1999,6146.0,102.4904109589041,58.90684931506849,365
2000,6626.0,103.77049180327869,64.11748633879782,366
2001,6355.0,96.13698630136986,55.93150684931507,365
2002,4277.0,100.57808219178082,56.83013698630137,365
2003,4434.0,95.0958904109589,48.512328767123286,365
2004,5417.0,100.86338797814207,54.46994535519126,366
2005,5190.0,100.47945205479452,54.68219178082192,365
2006,5031.0,106.47397260273972,57.775342465753425,365
