DATE,PRCP,TMAX,TMIN,NROWS
1962,16956.0,317.2315789473684,225.9543147208122,199
1963,12563.0,321.568345323741,218.1848184818482,305
1964,16832.0,320.4848484848485,222.68,308
1965,13081.0,323.27574750830564,225.95454545454547,308
1966,12694.0,321.5364238410596,226.51465798045604,310
1971,0.0,313.75616438356167,232.07123287671232,365
1972,0.0,321.6666666666667,237.45081967213116,366
1973,3221.0,318.4246575342466,233.2054794520548,365
1974,840.0,,,356
1975,2159.0,,,334
1976,2560.0,290.0,220.0,322
1977,6891.0,,,324
1978,22755.0,325.05649717514126,234.91242937853107,365
1979,21221.0,322.8027397260274,228.83561643835617,365
1980,40542.0,326.20765027322403,231.65300546448088,366
1981,26836.0,323.6767123287671,220.7972602739726,365
1982,10259.0,326.14520547945204,220.97260273972603,365
1983,2868.0,328.74520547945207,228.44383561643835,365
1984,2313.0,321.0655737704918,229.3087431693989,366
1985,2187.0,319.9862637362637,228.77747252747253,365
1986,1308.0,330.3839779005525,230.11780821917807,365
1987,3531.0,341.2577777777778,238.23206751054852,286
1988,430.0,333.80232558139534,240.87640449438203,143
1989,244.0,333.7005649717514,234.45179063360882,364
1990,20.0,339.90934065934067,239.75616438356164,365
1991,0.0,336.7513812154696,239.51381215469613,363
1992,0.0,337.4843304843305,241.05494505494505,364
1993,435.0,333.6804407713499,240.6694214876033,364
1994,71.0,330.4194444444444,243.07222222222222,360
1995,2904.0,325.15277777777777,241.9668508287293,363
1996,114.0,326.5441595441595,237.36647727272728,360
1997,741.0,334.6388888888889,242.09695290858727,362
1998,5452.0,334.2083333333333,240.35635359116023,364
1999,36.0,329.87172011661806,233.55072463768116,348
2000,0.0,330.25,242.90384615384616,364
2001,0.0,331.4986225895317,243.8870523415978,364
2002,734.0,327.8292011019284,242.8870523415978,363
2003,744.0,329.71270718232046,243.06043956043956,362
2004,97.0,331.61846153846153,236.9808743169399,366
2005,681.0,326.02465753424656,237.21917808219177,365
2006,0.0,329.9230769230769,241.4065934065934,364
2007,0.0,330.85714285714283,231.14285714285714,12
2009,0.0,332.95454545454544,237.74242424242425,305
2010,2998.0,322.3282051282051,227.45128205128205,247
2011,10198.0,326.6413502109705,226.75527426160338,287
2012,0.0,326.7,235.6,17
2013,1273.0,327.3333333333333,240.45679012345678,151
2014,5435.0,329.47297297297297,246.4527027027027,325
2015,56.0,333.16,244.92,114
2016,2840.0,333.796875,242.765625,245
2017,3528.0,331.6844919786096,242.40106951871658,364
2018,6490.0,333.18134715025906,244.68393782383419,355
2019,4057.0,331.1503759398496,249.6766917293233,356
2020,7392.0,330.9310344827586,247.29310344827587,348
2021,10520.0,336.85561497326205,243.88235294117646,360
2022,9853.0,335.17903930131007,241.03930131004367,361
2023,1931.0,337.396449704142,248.62130177514794,336
2024,2986.0,338.5,251.3560606060606,277
