DATE,PRCP,TMAX,TMIN,NROWS
1953,219.0,110.28571428571429,-18.8,7
1954,2533.0,138.29255319148936,35.30939226519337,216
1955,5249.0,124.82059800664452,30.488215488215488,316
1956,4596.0,117.61801242236025,26.81756756756757,342
1957,3582.0,121.52093023255814,34.325,231
1958,5463.0,138.6982456140351,49.49814126394052,304
1959,5770.0,143.14110429447854,32.92465753424658,362
1960,6984.0,133.33633633633633,35.84013605442177,363
1961,4835.0,144.99703264094956,43.36551724137931,361
1962,6052.0,123.8693009118541,32.534013605442176,365
1963,4473.0,125.37091988130564,27.98936170212766,365
1973,4573.0,130.2089552238806,43.68613138686131,364
1974,7089.0,137.1556886227545,47.53333333333333,365
1975,7096.0,138.52409638554218,47.773851590106005,364
1976,5679.0,127.30886850152905,36.90721649484536,366
1977,7673.0,133.86430678466076,35.578947368421055,365
1978,8427.0,124.73053892215569,36.935483870967744,365
1979,7204.0,134.7289156626506,40.483870967741936,365
1980,7022.0,116.16314199395771,34.36065573770492,366
1981,7876.0,133.14705882352942,40.33898305084746,365
1982,3518.0,142.1510574018127,44.125,365
1983,4091.0,149.9816513761468,50.08896797153025,365
1984,4375.0,129.93529411764706,37.9290780141844,366
1985,6741.0,123.0625,31.594306049822062,365
1986,5197.0,133.15407854984895,29.52,365
1987,4869.0,128.7579617834395,32.12408759124087,365
1988,3679.0,140.68934911242604,45.152482269503544,366
1989,4613.0,144.84639498432603,52.034129692832764,365
1990,5698.0,151.03987730061348,47.70609318996416,365
1991,5215.0,133.45535714285714,37.0,365
1992,3318.0,150.60176991150442,47.762068965517244,366
1993,4684.0,143.26969696969698,37.18571428571428,365
1994,4735.0,160.6013071895425,52.76953125,349
1995,4671.0,155.46781115879827,53.82790697674419,320
1996,5892.0,125.20701754385965,25.622119815668203,366
1997,3703.0,139.3892857142857,39.25670498084291,365
1998,6718.0,138.4235668789809,43.94776119402985,365
1999,6104.0,141.14950166112956,45.844897959183676,364
2000,5023.0,152.22658610271904,50.91596638655462,366
2001,6290.0,136.6970684039088,40.88537549407115,365
2002,5044.0,148.1433823529412,45.623893805309734,365
2003,4489.0,161.1174089068826,38.975,364
2004,5122.0,150.5851851851852,47.891891891891895,366
2005,6438.0,143.38032786885245,42.929245283018865,365
2006,5487.0,152.16296296296295,52.04477611940298,365
2007,7088.0,159.29921259842519,51.58447488584475,365
2008,6967.0,152.76363636363635,48.848214285714285,366
2009,7105.0,149.95940959409594,51.27536231884058,365
2010,8967.0,144.78217821782178,39.77900552486188,365
2011,5998.0,145.43445692883896,40.25991189427313,365
2012,5980.0,156.16296296296295,39.63926940639269,366
2013,5813.0,143.9318181818182,42.37619047619047,365
2014,7477.0,164.81140350877192,58.216748768472904,365
2015,4258.0,137.77884615384616,48.5615763546798,365
2016,6432.0,165.20289855072463,38.89090909090909,366
2017,7506.0,163.6206896551724,38.32374100719424,365
2018,5060.0,186.23076923076923,57.17293233082707,365
2019,6531.0,159.0097087378641,55.56428571428572,365
2020,10386.0,141.42,47.798561151079134,366
2021,6967.0,147.61363636363637,51.26143790849673,363
2022,5940.0,170.27403846153845,39.57692307692308,365
2023,6860.0,168.81057268722466,51.37888198757764,365
2024,7969.0,195.93119266055047,76.4952380952381,290
