DATE,PRCP,TMAX,TMIN,NROWS,MULT
1950,6932.0,209.27671232876716,100.82739726027395,365,1.0
1951,7588.0,202.06575342465757,99.47945205479452,365,1.0946335833814196
1952,3303.0,205.396174863388,98.90437158469943,366,0.43529256721138637
1953,11453.0,200.5917808219178,102.0,365,3.46745382985165
1954,5301.0,198.91780821917808,94.9041095890411,365,0.4628481620536104
1955,6862.0,206.25205479452052,104.0164383561644,365,1.2944727409922656
1956,8319.0,189.74043715846997,92.60928961748634,366,1.2123287671232876
1957,6261.0,198.2164383561644,100.07397260273972,365,0.7526144969347277
1958,6412.0,198.4739726027397,99.96438356164384,365,1.0241175531065325
1959,8089.0,199.37260273972603,101.72876712328768,365,1.261540860885839
1960,6839.0,194.9344262295082,103.93989071038251,366,0.8454691556434665
1961,3715.0,201.44931506849315,112.22465753424656,365,0.5432080713554613
1962,6654.0,194.55068493150685,106.33972602739726,365,1.7911170928667564
1963,6717.0,192.83561643835617,105.9890410958904,365,1.009467989179441
1964,7850.0,200.2650273224044,113.77322404371584,366,1.1686764924817628
1965,4240.0,195.8027397260274,108.88219178082193,365,0.5401273885350318
1966,7080.0,197.48767123287672,113.87671232876713,365,1.669811320754717
1967,5094.0,201.57534246575344,114.17260273972605,365,0.7194915254237289
1968,10310.0,195.827868852459,111.48907103825135,366,2.023949744797801
1969,7584.0,193.06027397260277,109.81917808219178,365,0.7355965082444229
1970,4018.0,201.5945205479452,106.31232876712328,365,0.5297995780590717
1971,7083.0,199.48219178082192,102.41643835616438,365,1.7628173220507715
1972,12344.0,196.7486338797814,110.22950819672133,366,1.7427643653819003
1973,8042.0,202.4082191780822,107.15890410958905,365,0.6514906027219702
1974,7526.0,200.87671232876716,105.91780821917808,365,0.9358368565033574
1975,8664.0,202.43013698630136,107.68767123287672,365,1.1512091416423067
1976,11229.0,197.80327868852456,108.69398907103825,366,1.2960526315789473
1977,6148.0,203.73424657534247,113.08767123287672,365,0.5475109092528275
1978,10859.0,197.36164383561643,106.69589041095892,365,1.7662654521795706
1979,10761.0,200.3835616438356,112.3945205479452,365,0.9909752279215397
1980,8586.0,193.31147540983608,102.83060109289616,366,0.7978812378031781
1981,5600.0,202.2876712328767,107.11780821917807,365,0.6522245515956208
1982,8421.0,208.71506849315068,121.06575342465752,365,1.50375
1983,6232.0,204.14520547945204,113.13698630136986,365,0.7400546253414084
1984,8450.0,192.5273224043716,105.0327868852459,366,1.3559050064184852
1985,6929.0,201.0328767123288,109.93150684931508,365,0.82
1986,9223.0,202.3013698630137,113.013698630137,365,1.3310723048058883
1987,7843.0,202.72054794520548,114.44657534246576,365,0.8503740648379052
1988,6611.0,206.48907103825132,113.41256830601093,366,0.8429172510518934
1989,5508.0,208.12876712328767,112.83561643835615,365,0.833156859779156
1990,5566.0,209.1041095890411,115.71780821917808,365,1.0105301379811185
1991,9260.0,198.1013698630137,107.89041095890413,365,1.6636722960833632
1992,9774.0,203.5546448087432,115.2896174863388,366,1.0555075593952483
1993,10462.0,203.6164383561644,113.76986301369864,365,1.070390832821772
1994,7736.0,213.2794520547945,125.64109589041097,365,0.7394379659720894
1995,6592.0,204.427397260274,114.86301369863014,365,0.8521199586349535
1996,11041.0,199.65027322404373,116.50273224043715,366,1.6749089805825244
1997,7756.0,210.53424657534248,120.8082191780822,365,0.7024726021193732
1998,6902.0,206.0,116.76164383561644,365,0.8898916967509025
1999,9811.0,209.13698630136983,120.95890410958904,365,1.4214720370906984
2000,9414.0,209.6857923497268,120.58196721311477,366,0.9595352155743553
2001,5942.0,211.52602739726024,119.52876712328766,365,0.6311875929466751
2002,7194.0,207.8739726027397,120.37808219178082,365,1.2107034668461798
2003,6760.0,213.65205479452052,126.58356164383562,365,0.9396719488462608
2004,6778.0,205.81420765027323,115.17486338797814,366,1.0026627218934911
2005,8468.0,199.51780821917808,107.71506849315068,365,1.2493360873413986
2006,6210.0,210.60821917808215,112.92328767123288,365,0.7333490788852149
2007,8654.0,209.42465753424656,111.96986301369864,365,1.393558776167472
2008,13752.0,206.2431693989071,113.72131147540983,366,1.5890917494800092
2009,6524.0,211.55068493150685,116.0082191780822,365,0.4744037230948226
2010,10348.0,201.17534246575343,110.9068493150685,365,1.5861434702636419
2011,7424.0,210.7178082191781,114.75342465753424,365,0.7174333204483958
2012,6733.0,209.56830601092892,115.29508196721312,366,0.9069234913793104
2013,7077.0,208.13150684931503,114.15616438356165,365,1.051091638199911
2014,7664.0,214.8739726027397,121.91506849315068,365,1.082944750600537
2015,7556.0,215.68493150684927,121.73972602739724,365,0.9859081419624217
2016,6331.0,215.15300546448088,121.92349726775956,366,0.8378771836950768
2017,5802.0,214.65205479452052,118.86027397260274,365,0.9164429000157953
2018,11324.0,214.16712328767125,127.213698630137,365,1.9517407790417098
2019,8413.0,215.0958904109589,120.0164383561644,365,0.7429353585305546
2020,7360.0,215.0928961748634,119.30874316939892,366,0.8748365624628551
