DATE,PRCP,TMAX,TMIN,NROWS
1943,0.0,,,214
1944,0.0,,,366
1945,0.0,,,365
1946,0.0,,,30
1950,32510.0,304.95342465753424,219.5068493150685,365
1951,36580.0,309.1178082191781,221.76438356164383,365
1952,30400.0,307.22131147540983,224.37431693989072,366
1953,45860.0,307.213698630137,220.2164383561644,365
1954,42150.0,303.47123287671235,219.96164383561643,365
1955,42510.0,299.4219178082192,219.82739726027398,365
1956,49350.0,296.53005464480873,219.7431693989071,366
1957,32450.0,299.9780821917808,221.9808219178082,365
1958,28680.0,304.2931506849315,222.04109589041096,365
1959,38880.0,296.0821917808219,222.7013698630137,365
1960,38680.0,295.379781420765,221.19398907103826,366
1961,28980.0,297.7068493150685,222.5917808219178,365
1962,32610.0,298.35616438356163,222.6109589041096,365
1963,38260.0,296.4356164383562,223.45479452054795,365
1964,24140.0,298.0409836065574,222.25409836065575,366
1965,31700.0,296.0,221.91780821917808,365
1966,27330.0,299.786301369863,224.73424657534247,365
1967,33200.0,299.2630136986301,218.81917808219177,365
1968,41030.0,299.8169398907104,219.3306010928962,366
1969,31990.0,308.47123287671235,223.0027397260274,365
1970,44810.0,301.6465753424658,221.0191780821918,365
1971,49510.0,296.97534246575344,218.8,365
1972,39120.0,299.3196721311475,223.172131147541,366
1973,40690.0,300.9123287671233,225.73698630136985,365
1974,40270.0,292.8821917808219,220.7917808219178,365
1975,35850.0,294.7698630136986,221.04109589041096,365
1976,54420.0,297.89617486338796,219.63387978142077,366
1977,37360.0,299.13698630136986,225.93698630136987,365
1978,35230.0,302.0191780821918,222.65479452054794,365
1979,36280.0,302.36164383561646,225.46301369863014,365
1980,36300.0,301.7431693989071,225.21857923497268,366
1981,36290.0,302.7260273972603,225.4931506849315,365
1982,35000.0,300.75342465753425,226.8794520547945,365
1983,32260.0,306.94794520547947,230.5917808219178,365
1984,42910.0,298.7568306010929,227.31967213114754,366
1985,35310.0,301.1835616438356,226.5095890410959,365
1986,33100.0,303.64931506849314,229.1917808219178,365
1987,23830.0,309.9095890410959,233.55616438356165,365
1988,34090.0,304.87158469945354,230.78415300546447,366
1989,49410.0,300.07671232876714,229.6027397260274,365
1990,44880.0,305.15890410958906,230.57260273972602,365
1991,30430.0,302.3917808219178,230.6931506849315,365
1992,26460.0,300.6639344262295,226.7568306010929,366
1993,35180.0,298.94246575342464,227.23287671232876,365
1994,41940.0,297.5753424657534,226.82739726027398,365
1995,22750.0,304.94794520547947,229.17260273972602,365
1996,37130.0,304.4945355191257,229.36885245901638,366
1997,35810.0,306.14520547945204,228.03013698630136,365
1998,28610.0,311.38904109589043,235.22465753424657,365
1999,35160.0,307.17808219178085,227.33698630136988,365
2000,43350.0,301.93715846994536,227.775956284153,366
2001,8599.0,310.50431034482756,227.9964412811388,355
2002,9427.0,309.2425531914894,229.06802721088437,364
2003,24240.0,310.97457627118644,229.3877551020408,364
2004,26760.0,314.0840707964602,228.44827586206895,366
2005,31133.0,315.37551020408165,232.01785714285714,365
2006,42119.0,308.5317220543807,229.8612099644128,365
2007,36455.0,310.19504643962847,230.61754385964912,365
2008,34668.0,310.2442996742671,227.88518518518518,366
2009,35790.0,314.0655737704918,230.60299625468164,365
2010,34666.0,318.6666666666667,234.7058823529412,365
2011,36180.0,314.0701754385965,229.6546184738956,365
2012,38470.0,315.0215517241379,228.16744186046512,366
2013,36248.0,313.51162790697674,232.55701754385964,365
2014,32610.0,311.54883720930235,232.5810810810811,365
2015,33207.0,312.73732718894007,233.5929203539823,365
2016,31456.0,317.0604651162791,233.62980769230768,366
2017,42012.0,315.1014492753623,233.01960784313727,365
2018,34802.0,312.4906542056075,232.33658536585367,365
2019,29139.0,315.32272727272726,232.18018018018017,365
2020,34681.0,315.94146341463414,234.6727272727273,366
2021,46751.0,314.3241758241758,231.8235294117647,364
2022,50589.0,313.3862433862434,224.0125,365
2023,35343.0,319.24528301886795,227.37142857142857,365
2024,23924.0,325.2516129032258,238.02083333333334,292
