DATE,PRCP,TMAX,TMIN,NROWS
1954,26949.0,310.04484304932737,244.8181818181818,231
1955,50376.0,307.55223880597015,242.6629213483146,325
1956,54986.0,308.8575498575499,243.23931623931625,364
1957,72907.0,300.5298013245033,246.59766763848395,365
1958,75870.0,297.17478510028656,246.7650429799427,365
1959,73600.0,295.3057851239669,243.12121212121212,364
1960,64189.0,294.7267441860465,239.84256559766763,365
1961,42112.0,297.5353535353535,239.35254237288135,365
1962,61382.0,291.80664652567975,238.0845921450151,334
1963,73226.0,292.5738636363636,238.07122507122506,365
1964,47410.0,293.90934844192634,238.43342776203966,366
1965,40027.0,302.46411483253587,243.20095693779905,275
1966,35588.0,318.23561643835615,251.21428571428572,365
1967,48013.0,315.86538461538464,241.0054945054945,365
1968,46918.0,322.2396694214876,242.80440771349862,366
1969,31661.0,322.99159663865544,231.99439775910363,365
1970,35466.0,316.00280112044817,240.8081395348837,365
1971,45172.0,310.07936507936506,241.80442804428046,334
1972,33589.0,310.3076923076923,234.6196581196581,243
1973,20918.0,304.32067510548524,233.01304347826087,243
1974,38482.0,312.6006711409396,235.70805369127515,304
1975,30044.0,309.1659192825112,236.35185185185185,244
1976,22239.0,314.2694610778443,238.4131736526946,181
1977,21842.0,316.6244725738397,238.55274261603375,243
1978,12838.0,313.65168539325845,237.18072289156626,92
1979,2256.0,311.4642857142857,233.67857142857142,28
1985,8523.0,,,61
1986,42662.0,,,365
1987,36335.0,,,304
1988,22526.0,302.37179487179486,244.60256410256412,243
1989,38313.0,305.98201438848923,228.0359712230216,365
1990,22200.0,311.6666666666667,223.2061403508772,334
1991,51731.0,311.49142857142857,213.11714285714285,365
1992,32979.0,314.5859154929577,211.0056338028169,366
1993,49571.0,307.93498452012386,210.6934984520124,335
1994,37303.0,313.1632047477745,219.540059347181,365
1995,48065.0,313.4329608938547,213.04189944134077,365
1996,60380.0,313.0191256830601,227.775956284153,366
1997,42637.0,310.2934131736527,215.96107784431138,334
1998,31635.0,312.01939058171746,232.0,365
1999,54493.0,306.76438356164385,240.03835616438357,365
2000,50374.0,308.08035714285717,238.35119047619048,336
2001,56065.0,312.75068493150684,238.75616438356164,365
2002,56923.0,313.6849315068493,240.57808219178082,365
2003,50790.0,314.5041095890411,211.85479452054796,365
2004,54222.0,314.42896174863387,205.89890710382514,366
2005,51102.0,309.88493150684934,234.92054794520547,365
2006,44509.0,312.0059880239521,244.18562874251498,334
2007,50999.0,307.9287671232877,236.8739726027397,365
2008,56630.0,306.2896174863388,234.37431693989072,366
2009,48925.0,317.027397260274,239.55068493150685,365
2010,33148.0,312.64473684210526,239.67434210526315,304
2011,28527.0,307.78199052132703,234.70616113744074,211
2012,22615.0,307.56043956043953,242.62637362637363,182
2014,20595.0,316.49342105263156,240.375,184
2015,45612.0,312.13424657534244,239.65205479452055,365
2016,38021.0,315.0081967213115,243.96712328767123,366
2017,58449.0,311.59228650137743,248.69505494505495,364
2018,46733.0,309.1740331491713,239.00275482093664,363
2019,48882.0,310.20604395604397,226.5808219178082,365
2020,60034.0,311.22131147540983,227.39617486338798,366
2021,66801.0,309.5178082191781,229.15342465753426,365
2022,65681.0,305.4764542936288,229.82548476454295,362
2023,56148.0,309.3791208791209,228.3434065934066,364
2024,36257.0,314.3297491039427,220.67025089605735,287
