DATE,PRCP,TMAX,TMIN,NROWS
1945,0.0,,,167
1947,8011.0,208.74794520547945,109.84931506849315,365
1948,5765.0,205.80327868852459,97.69672131147541,366
1949,7262.0,210.53424657534248,98.27671232876712,365
1950,6932.0,209.27671232876713,100.82739726027397,365
1951,7588.0,202.06575342465754,99.47945205479452,365
1952,3303.0,205.39617486338798,98.90437158469945,366
1953,11453.0,200.5917808219178,102.0,365
1954,5301.0,198.91780821917808,94.9041095890411,365
1955,6862.0,206.25205479452055,104.01643835616439,365
1956,8319.0,189.74043715846994,92.60928961748634,366
1957,6261.0,198.2164383561644,100.07397260273973,365
1958,6412.0,198.47397260273974,99.96438356164384,365
1959,8089.0,199.37260273972603,101.72876712328767,365
1960,6839.0,194.9344262295082,103.93989071038251,366
1961,3715.0,201.44931506849315,112.22465753424657,365
1962,6654.0,194.55068493150685,106.33972602739726,365
1963,6717.0,192.83561643835617,105.98904109589041,365
1964,7850.0,200.26502732240436,113.77322404371584,366
1965,4240.0,195.8027397260274,108.88219178082191,365
1966,7080.0,197.48767123287672,113.87671232876713,365
1967,5094.0,201.57534246575344,114.17260273972603,365
1968,10310.0,195.827868852459,111.48907103825137,366
1969,7584.0,193.06027397260274,109.81917808219178,365
1970,4018.0,201.5945205479452,106.31232876712329,365
1971,7083.0,199.48219178082192,102.41643835616438,365
1972,12344.0,196.7486338797814,110.22950819672131,366
1973,8042.0,202.4082191780822,107.15890410958905,365
1974,7526.0,200.87671232876713,105.91780821917808,365
1975,8664.0,202.43013698630136,107.68767123287671,365
1976,11229.0,197.80327868852459,108.69398907103825,366
1977,6148.0,203.73424657534247,113.08767123287672,365
1978,10859.0,197.36164383561643,106.69589041095891,365
1979,10761.0,200.3835616438356,112.3945205479452,365
1980,8586.0,193.31147540983608,102.83060109289617,366
1981,5600.0,202.2876712328767,107.11780821917809,365
1982,8421.0,208.71506849315068,121.06575342465753,365
1983,6232.0,204.14520547945204,113.13698630136986,365
1984,8450.0,192.52732240437157,105.0327868852459,366
1985,6929.0,201.03287671232877,109.93150684931507,365
1986,9223.0,202.3013698630137,113.01369863013699,365
1987,7843.0,202.72054794520548,114.44657534246575,365
1988,6611.0,206.48907103825135,113.41256830601093,366
1989,5508.0,208.12876712328767,112.83561643835617,365
1990,5566.0,209.1041095890411,115.71780821917808,365
1991,9260.0,198.1013698630137,107.89041095890411,365
1992,9774.0,203.55464480874318,115.2896174863388,366
1993,10462.0,203.6164383561644,113.76986301369863,365
1994,7736.0,213.27945205479452,125.64109589041095,365
1995,6592.0,204.42739726027398,114.86301369863014,365
1996,11041.0,199.65027322404373,116.50273224043715,366
1997,7756.0,210.53424657534248,120.8082191780822,365
1998,6902.0,206.0,116.76164383561644,365
1999,9811.0,209.13698630136986,120.95890410958904,365
2000,9414.0,209.68579234972677,120.58196721311475,366
2001,5942.0,211.52602739726026,119.52876712328766,365
2002,7194.0,207.8739726027397,120.37808219178082,365
2003,6760.0,213.65205479452055,126.58356164383562,365
2004,6778.0,205.81420765027323,115.17486338797814,366
2005,8468.0,199.51780821917808,107.71506849315068,365
2006,6210.0,210.60821917808218,112.92328767123287,365
2007,8654.0,209.42465753424656,111.96986301369863,365
2008,13752.0,206.2431693989071,113.72131147540983,366
2009,6524.0,211.55068493150685,116.00821917808219,365
2010,10348.0,201.17534246575343,110.9068493150685,365
2011,7424.0,210.7178082191781,114.75342465753425,365
2012,6733.0,209.56830601092895,115.29508196721312,366
2013,7077.0,208.13150684931506,114.15616438356165,365
2014,7664.0,214.8739726027397,121.91506849315068,365
2015,7556.0,215.68493150684932,121.73972602739725,365
2016,6331.0,215.15300546448088,121.92349726775956,366
2017,5802.0,214.65205479452055,118.86027397260274,365
2018,11324.0,214.16712328767125,127.21369863013699,365
2019,8413.0,215.0958904109589,120.01643835616439,365
2020,7360.0,215.0928961748634,119.30874316939891,366
2021,5604.0,213.21369863013697,117.66301369863014,365
2022,3568.0,224.35068493150686,125.03561643835616,365
2023,4194.0,222.02739726027397,125.96712328767123,365
2024,4405.0,223.74180327868854,123.32286995515695,296
