DATE,PRCP,TMAX,TMIN,NROWS
1973,419.0,308.125,217.89473684210526,40
1974,558.0,300.0,214.44444444444446,34
1975,0.0,301.1111111111111,218.6206896551724,32
1976,2083.0,302.3076923076923,212.35294117647058,24
1977,833.0,298.0952380952381,215.3846153846154,39
1978,469.0,308.94736842105266,219.6969696969697,44
1979,3239.0,302.3076923076923,218.66666666666666,80
1980,435.0,309.1666666666667,223.84615384615384,33
1982,0.0,,,1
1987,0.0,310.5,228.0,3
1988,371.0,274.0,212.0,5
1989,375.0,302.3333333333333,227.84615384615384,16
1990,1275.0,303.9047619047619,221.34782608695653,36
1991,1853.0,307.85,221.6984126984127,84
1992,498.0,315.44,219.4,42
1993,3147.0,303.89473684210526,219.9431818181818,111
1994,6351.0,311.75,219.62025316455697,120
1995,2452.0,329.55,228.94285714285715,70
1996,2121.0,302.50602409638554,222.6125,91
1997,13159.0,309.27027027027026,223.05769230769232,268
1998,5895.0,312.22222222222223,226.5137614678899,150
1999,8.0,314.94444444444446,218.35294117647058,29
2000,36.0,306.6,216.5,18
2001,371.0,337.6666666666667,217.91666666666666,12
2002,1310.0,336.4583333333333,223.92307692307693,30
2003,3119.0,314.1794871794872,221.02439024390245,91
2004,1331.0,311.6764705882353,221.725,43
2005,4165.0,301.55555555555554,218.66666666666666,81
2006,1434.0,318.2105263157895,223.2,45
2007,655.0,308.53846153846155,213.11111111111111,36
2008,920.0,321.8888888888889,233.08695652173913,52
2009,12582.0,313.5042016806723,223.84337349397592,254
2010,9454.0,318.5284974093264,226.840206185567,302
2011,5526.0,314.0,220.89473684210526,210
2012,4906.0,312.94615384615383,223.1547619047619,245
2013,8649.0,311.4810126582278,225.72058823529412,210
2014,4099.0,302.90526315789475,226.06060606060606,189
2015,4569.0,317.99038461538464,227.33333333333334,208
2016,6091.0,320.413612565445,232.703125,276
2017,5131.0,319.225,230.45,272
2018,13370.0,320.8979591836735,228.7984496124031,339
2019,8902.0,326.4686192468619,231.45491803278688,349
2020,5859.0,326.4625,228.50446428571428,342
2021,6199.0,324.3625730994152,231.9806451612903,235
2022,3855.0,318.39344262295083,225.2888888888889,245
2023,2894.0,323.6045627376426,226.18032786885246,338
2024,3261.0,330.27884615384613,230.746192893401,263
