DATE,PRCP,TMAX,TMIN,NROWS
1931,10913.0,,,365
1932,8250.0,,,366
1933,7839.0,,,365
1934,6579.0,,,365
1935,9401.0,,,365
1936,10564.0,,,366
1937,8307.0,,,365
1938,8522.0,,,365
1939,11375.0,,,365
1940,10031.0,,,366
1941,10379.0,,,365
1942,8063.0,,,365
1943,7138.0,,,365
1944,10541.0,,,366
1945,9209.0,,,365
1946,8134.0,,,365
1947,8039.0,,,365
1948,8025.0,,,366
1949,6282.0,,,365
1950,9490.0,,,365
1951,9346.0,,,365
1952,9284.0,,,366
1953,6371.0,,,365
1954,8126.0,,,365
1955,7380.0,,,365
1956,8047.0,,,366
1957,8126.0,,,365
1958,10424.0,,,365
1959,6245.0,,,365
1960,7632.0,,,366
1961,8978.0,,,365
1962,6976.0,,,365
1963,8179.0,,,365
1964,6109.0,,,366
1965,11899.0,,,365
1966,9528.0,,,365
1967,8008.0,,,365
1968,10014.0,,,366
1969,7044.0,,,365
1970,10032.0,,,365
1971,6450.0,,,365
1972,6197.0,,,366
1973,7197.0,,,365
1974,9606.0,,,365
1975,6297.0,,,365
1976,6247.0,,,366
1977,8567.0,,,365
1978,10538.0,,,365
1979,8528.0,,,365
1980,8538.0,,,366
1981,10923.0,,,365
1982,10116.0,,,365
1983,8758.0,167.34181818181818,68.31636363636363,365
1984,9139.0,125.44535519125684,41.54644808743169,366
1985,8665.0,126.42739726027398,34.84109589041096,365
1986,9912.0,130.41095890410958,42.37808219178082,365
1987,9891.0,121.63287671232877,44.136986301369866,365
1988,9943.0,138.8087431693989,58.13661202185792,366
1989,7810.0,147.84383561643835,55.04383561643836,365
1990,8117.0,147.98356164383563,53.99452054794521,365
1991,6114.0,135.75616438356164,43.12876712328767,365
1992,8907.0,142.6693989071038,55.44535519125683,366
1993,8960.0,134.86301369863014,53.345205479452055,365
1994,8960.0,123.7844522968198,47.12720848056537,365
1995,9642.0,134.53150684931506,51.24931506849315,365
1996,6722.0,119.66666666666667,35.05191256830601,366
1997,7352.0,138.9753424657534,47.93698630136986,365
1998,9260.0,139.7972602739726,55.16712328767123,365
1999,8486.0,143.45205479452054,60.49589041095891,365
2000,7418.0,146.85792349726776,61.756830601092894,366
2001,4890.0,143.26415094339623,53.221698113207545,212
2009,8269.0,,,306
2010,9767.0,,,365
2011,7686.0,,,365
2012,8886.0,,,366
2013,8771.0,,,365
2014,7307.0,,,365
2015,5831.0,,,365
2016,8471.0,,,366
2017,8193.0,,,355
2018,6949.0,,,365
2019,9001.0,,,365
2020,7286.0,,,366
2021,8333.0,,,362
2022,7766.0,,,365
2023,9680.0,,,365
2024,6429.0,,,240
