DATE,PRCP,NROWS
1978,17405.0,153
1979,19288.0,334
1980,27066.0,366
1981,21766.0,334
1982,33446.0,365
1983,19661.0,348
1984,17303.0,335
1985,26896.0,335
1986,26075.0,365
1987,22319.0,365
1988,29237.0,365
1989,23811.0,334
1990,26604.0,365
1991,22408.0,365
1992,6045.0,244
1993,18974.0,365
1994,16766.0,365
1995,16958.0,334
1996,17617.0,337
1997,37060.0,365
1998,15960.0,365
1999,17900.0,365
2000,18993.0,306
2001,5624.0,335
2002,9125.0,365
2003,2525.0,365
2004,15528.0,366
2005,18519.0,365
2006,16602.0,334
2007,19372.0,334
2008,12977.0,366
2009,6980.0,365
2010,4500.0,334
2011,28381.0,305
2012,15061.0,182
2014,30273.0,275
2015,23538.0,304
2016,21879.0,336
2017,26384.0,365
2018,23962.0,303
2019,26750.0,365
2020,28011.0,366
2021,25799.0,365
2022,28629.0,365
2023,36811.0,365
2024,21899.0,297
