DATE,PRCP,TMAX,TMIN,NROWS
1974,79.0,,160.0,18
1975,0.0,310.0,230.0,65
1976,0.0,,,2
1977,287.0,,,251
1978,567.0,,,312
1979,24696.0,321.0861423220974,238.24137931034483,310
1980,14930.0,321.42857142857144,238.97727272727272,300
1981,14563.0,321.28712871287127,237.93269230769232,237
1982,0.0,308.0,,254
1983,158.0,,,280
1984,51.0,321.85714285714283,239.375,71
1985,0.0,,250.625,10
1986,0.0,340.75,247.11111111111111,13
1987,0.0,,245.0,2
1988,0.0,318.14285714285717,239.2,13
1989,0.0,322.0,248.5,4
1992,0.0,330.3333333333333,245.27272727272728,15
1993,45.0,324.3478260869565,251.5185185185185,34
1994,158.0,304.61538461538464,244.16666666666666,40
1996,0.0,,256.0,1
1997,0.0,,237.0,1
1998,0.0,,254.0,1
2000,0.0,,251.0,2
2001,0.0,,249.33333333333334,4
2002,0.0,332.6666666666667,256.3,16
2003,4526.0,334.1748633879781,253.83544303797467,235
2004,3285.0,332.43243243243245,254.56338028169014,296
2005,6964.0,328.8524590163934,253.6435185185185,347
2006,41.0,326.7695652173913,254.30674846625766,281
2007,292.0,325.45484949832775,254.0660792951542,346
2008,262.0,319.93831168831167,252.13362068965517,355
2009,0.0,323.4854368932039,256.81609195402297,350
2010,1761.0,321.4491017964072,256.8287937743191,363
2011,394.0,318.484756097561,257.58232931726906,356
2012,23.0,321.016077170418,259.2631578947368,362
2013,23.0,318.0948275862069,257.9840637450199,360
2014,0.0,327.3313953488372,260.1011235955056,363
2015,919.0,321.68513119533526,259.4496402877698,365
2016,151.0,323.1002865329513,260.8646616541353,365
2017,0.0,321.258358662614,257.544061302682,364
2018,71.0,323.42388059701494,258.2350746268657,364
2019,445.0,323.7082066869301,262.0553633217993,365
2020,48.0,321.5545977011494,261.55474452554745,366
2021,0.0,319.4566473988439,259.5404411764706,362
2022,734.0,319.86834733893556,259.4301886792453,363
2023,943.0,324.04451038575667,263.63732394366195,362
2024,379.0,327.3296296296296,265.14732142857144,288
