DATE,PRCP,TMAX,TMIN,NROWS
1910,4791.0,,,137
1911,4448.0,,,365
1912,7203.0,,,366
1913,5800.0,,,365
1914,4241.0,,,365
1915,7699.0,,,365
1916,7628.0,,,366
1917,9442.0,,,365
1918,4968.0,,,365
1919,9777.0,,,365
1920,3914.0,,,366
1921,7149.0,,,365
1922,4966.0,,,365
1923,2458.0,,,365
1924,6965.0,,,366
1925,5359.0,,,365
1926,5297.0,,,365
1927,7309.0,,,365
1928,5254.0,,,366
1929,5099.0,,,365
1930,6838.0,,,365
1931,3701.0,,,365
1932,7076.0,,,366
1933,7253.0,,,337
1934,2591.0,,,365
1935,5394.0,,,365
1936,4418.0,,,366
1937,7732.0,,,365
1938,7670.0,,,365
1939,6328.0,,,365
1940,7029.0,,,366
1941,5163.0,,,365
1942,2960.0,,,365
1943,5213.0,,,365
1944,5162.0,,,366
1945,4147.0,,,365
1946,7247.0,,,350
1947,6155.0,,,365
1948,4294.0,,,366
1949,5295.0,,,365
1950,4666.0,,,365
1951,5114.0,,,365
1952,3518.0,,,366
1953,8664.0,,,365
1954,3529.0,,,365
1955,6643.0,,,365
1956,8530.0,,,366
1957,5618.0,,,365
1958,5369.0,,,365
1959,6470.0,,,364
1960,5542.0,,,366
1961,4368.0,328.0,227.0737704918033,365
1962,5910.0,338.0217391304348,220.3482428115016,365
1963,5088.0,,,365
1964,6671.0,,,366
1965,3677.0,,,365
1966,7950.0,,,365
1967,4745.0,,,365
1968,5794.0,,,366
1969,5565.0,,,365
1970,6310.0,,,365
1973,4199.0,341.0756972111554,223.46938775510205,316
1974,3949.0,330.42918454935625,211.06060606060606,311
1975,0.0,329.1284403669725,216.26506024096386,289
1976,231.0,340.96256684491976,222.36220472440945,266
1977,3243.0,335.98425196850394,217.9738562091503,321
1978,6093.0,334.17763157894734,225.850622406639,360
1979,7861.0,340.30864197530866,231.66666666666666,364
1980,7724.0,345.43408360128615,224.12408759124088,366
1981,4908.0,338.538961038961,225.14388489208633,365
1982,3615.0,337.74827586206897,224.60902255639098,355
1983,5487.0,338.9966555183947,224.0258302583026,359
1984,2075.0,339.02605863192184,223.70498084291188,357
1985,2574.0,342.2792207792208,224.22602739726028,358
1986,2938.0,342.2804054054054,230.1259259259259,352
1987,3233.0,341.5679442508711,226.84926470588235,351
1988,4046.0,341.57358490566037,226.60165975103735,335
1989,3511.0,338.15579710144925,221.8559670781893,342
1990,3014.0,336.50830564784053,222.77358490566039,355
1991,5398.0,342.0032894736842,222.14453125,361
1992,2846.0,344.02826855123675,216.28384279475983,348
1993,6027.0,342.0,219.9578947368421,363
1994,3295.0,338.6547231270358,221.96703296703296,356
1995,7211.0,342.7577639751553,225.4933774834437,363
1996,5950.0,340.87421383647796,223.31399317406144,361
1997,4370.0,342.4125,229.2983606557377,358
1998,6502.0,343.6057971014493,232.8,359
1999,4683.0,336.7841945288754,222.4559748427673,361
2000,4212.0,333.42599277978337,214.00778210116732,300
2001,6253.0,342.3469387755102,221.66257668711657,365
2002,3045.0,345.28228228228227,223.09969788519638,364
2003,950.0,349.6391437308869,229.58610271903322,364
2004,4878.0,336.485632183908,215.90697674418604,366
2005,6872.0,340.87215909090907,221.45962732919256,365
2006,4877.0,341.94692737430165,220.85498489425981,365
2007,7775.0,339.8593272171254,213.39072847682118,352
2008,5929.0,337.89442815249265,201.36363636363637,366
2009,5060.0,345.0310734463277,213.121387283237,365
2010,10483.0,345.5982658959538,222.05263157894737,362
2011,4732.0,345.4901408450704,207.65165165165166,360
2012,4589.0,352.9025069637883,214.46064139941691,366
2013,4647.0,349.3746556473829,218.42690058479533,365
2014,4005.0,351.85393258426967,221.75645756457564,365
2015,5501.0,354.93905817174516,222.8808777429467,365
2016,3016.0,358.4320557491289,217.39017341040463,366
2017,6838.0,355.2078853046595,222.27692307692308,365
2018,1497.0,355.3344594594595,219.74269005847952,365
2019,6305.0,355.9010600706714,226.75149700598803,365
2020,7323.0,347.5897435897436,221.73952095808383,365
2021,8388.0,345.11764705882354,220.46312684365782,362
2022,5811.0,347.73986486486484,219.75157232704402,365
2023,2921.0,355.71378091872793,223.84569732937686,364
2024,5142.0,368.9707317073171,238.74131274131275,285
