DATE,PRCP,TMAX,TMIN,NROWS
1966,0.0,129.66666666666666,51.0,100
1967,154.0,236.4857142857143,112.6421052631579,359
1968,20.0,272.9024390243902,142.06060606060606,140
1969,0.0,,,31
1973,0.0,195.0,180.0,364
1974,859.0,260.0,106.66666666666667,365
1975,0.0,253.33333333333334,95.0,364
1976,0.0,,,362
1977,10.0,,,360
1978,233.0,233.0,109.3103448275862,361
1979,0.0,199.0909090909091,119.0,355
1980,201.0,230.3125,120.0,363
1981,234.0,223.11111111111111,128.71559633027522,362
1982,20.0,175.0,82.63157894736842,353
1983,1021.0,222.57142857142858,107.9090909090909,362
1984,20.0,278.57142857142856,139.0909090909091,358
1985,0.0,264.0,107.33333333333333,337
1986,0.0,223.14285714285714,138.0,362
1987,0.0,334.2,167.71428571428572,365
1988,5.0,221.5,121.33333333333333,362
1989,0.0,176.0,72.0,352
1990,0.0,,,358
1991,0.0,,,365
1992,0.0,,,366
1993,20516.0,,,362
1994,2613.0,,,355
1995,0.0,,,351
1996,0.0,,90.0,352
1997,0.0,,,322
1998,0.0,,0.15789473684210525,358
1999,0.0,,2.0,354
2000,1787.0,267.76271186440675,147.10526315789474,342
2001,1561.0,234.15602836879432,121.30314960629921,365
2002,1674.0,232.1642857142857,119.69037656903765,345
2003,4597.0,233.57081545064378,128.60103626943004,276
2004,7891.0,227.74132492113566,119.11016949152543,366
2005,5107.0,223.28706624605678,69.2919708029197,364
2006,4172.0,237.2987012987013,132.7622950819672,365
2007,3086.0,233.20521172638436,120.4353448275862,364
2008,4626.0,238.02597402597402,116.8326359832636,366
2009,5109.0,236.96178343949043,124.16326530612245,365
2010,8678.0,229.10030395136778,120.5560538116592,365
2011,6574.0,238.65060240963857,125.0530612244898,365
2012,4302.0,242.1039755351682,121.6954732510288,366
2013,4190.0,229.23839009287926,117.581589958159,365
2014,4827.0,241.23170731707316,126.76113360323886,365
2015,5250.0,243.42342342342343,127.28571428571429,365
2016,3254.0,239.47936507936507,124.27433628318585,366
2017,2166.0,244.84375,113.39830508474576,365
2018,5999.0,232.64451827242524,127.37651821862349,364
2019,4456.0,237.40251572327045,128.07659574468084,365
2020,1691.0,238.375,126.43518518518519,366
2021,4817.0,244.509375,130.9181818181818,362
2022,3034.0,253.41896024464833,133.021645021645,365
2023,2916.0,248.92361111111111,124.32579185520362,365
2024,1534.0,258.65765765765764,142.26285714285714,290
