DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,1594.0,315.98746081504703,241.341059602649,360,1.0
2001,451.0,314.01169590643275,244.15181518151812,362,0.28293601003764113
2002,894.0,320.0271084337349,244.4158415841584,355,1.982261640798226
2003,2111.0,323.5658914728682,247.26778242677824,280,2.3612975391498883
2004,1757.0,316.8285714285714,240.98305084745763,335,0.832306963524396
2005,22334.0,318.7008310249307,245.6214511041009,365,12.711439954467842
2006,35791.0,318.7932960893855,242.0817610062893,365,1.6025342527088744
2007,42288.0,319.4478873239437,241.4451410658307,362,1.1815260819759157
2008,28990.0,322.01960784313724,242.8063492063492,366,0.68553726825577
2009,32084.0,324.6101694915254,246.4225806451613,364,1.1067264573991031
2010,30963.0,323.0446927374302,245.54545454545453,365,0.9650604662760255
2011,30025.0,329.3593314763231,243.36,360,0.9697057778639021
2012,21205.0,332.4598337950139,244.81672025723472,366,0.7062447960033306
2013,28517.0,329.46132596685084,245.63302752293575,365,1.344824333883518
2014,32564.0,336.47237569060775,247.20472440944883,365,1.1419153487393485
2015,25097.0,343.80167597765364,247.0097719869707,365,0.7706977029848913
2016,18055.0,346.0838926174497,250.6153846153846,366,0.719408694266247
2017,21423.0,341.84965034965035,246.56739811912223,365,1.1865411243422874
2018,29883.0,334.9121621621622,244.23529411764707,365,1.3949026746954207
2019,32283.0,340.23,248.52201257861637,365,1.0803132215641
2020,31005.0,336.9616724738676,250.1823708206687,366,0.9604126010593811
2021,39828.0,327.1609195402299,247.05919003115264,362,1.2845670053217224
2022,26582.0,332.54258675078864,247.1614906832298,362,0.6674199055940544
2023,23801.0,341.9075342465753,251.86018237082067,364,0.8953803325558649
