DATE,PRCP,TMAX,TMIN,NROWS
1951,25041.0,208.95342465753424,149.34246575342465,365
1952,26536.0,211.27868852459017,153.92896174863387,366
1953,26172.0,208.63835616438357,155.16712328767125,365
1954,33921.0,210.67123287671234,158.3013698630137,365
1955,22768.0,211.6876712328767,156.5041095890411,365
1956,19675.0,207.5601092896175,151.41803278688525,366
1957,23126.0,205.6109589041096,150.48219178082192,365
1958,21007.0,213.44109589041096,158.7041095890411,365
1959,25354.0,215.586301369863,161.02739726027397,365
1960,20427.0,213.06284153005464,158.4398907103825,366
1961,27530.0,213.2082191780822,160.48219178082192,365
1962,24329.0,204.44931506849315,152.22465753424657,365
1963,27485.0,202.34794520547945,151.91780821917808,365
1964,24218.0,211.44262295081967,159.4808743169399,366
1965,24482.0,202.7917808219178,144.7068493150685,365
1966,33112.0,207.413698630137,150.2109589041096,365
1967,20218.0,206.5945205479452,151.586301369863,365
1968,19615.0,202.65027322404373,146.99726775956285,366
1969,20485.0,204.37260273972603,150.03013698630136,365
1970,27730.0,201.3945205479452,146.78082191780823,365
1971,19950.0,201.90684931506848,146.1041095890411,365
1972,28245.0,201.9016393442623,145.9672131147541,366
1973,22810.0,204.25479452054793,148.1260273972603,365
1974,23545.0,206.3945205479452,150.28493150684932,365
1975,29370.0,203.73150684931508,150.4027397260274,365
1976,25045.0,199.07650273224044,145.56830601092895,366
1977,21135.0,206.77534246575343,151.27123287671233,365
1978,20480.0,205.0,151.56712328767122,365
1979,25115.0,208.14794520547946,152.77260273972604,365
1980,33045.0,202.4945355191257,146.2622950819672,366
1981,21940.0,204.8904109589041,146.62465753424658,365
1982,28805.0,204.67945205479452,148.7972602739726,365
1983,22895.0,206.31506849315068,150.63561643835615,365
1984,21780.0,197.5,145.3879781420765,366
1985,23130.0,205.14520547945204,152.26301369863015,365
1986,17030.0,201.8904109589041,145.76986301369863,365
1987,25945.0,207.0958904109589,152.76986301369863,365
1988,21445.0,204.46994535519124,148.1120218579235,366
1989,28660.0,209.96712328767123,155.4794520547945,365
1990,29785.0,216.42603550295857,160.0701754385965,365
1991,24114.0,213.39233038348084,157.32380952380953,365
1992,21666.0,211.04347826086956,153.54310344827587,366
1993,22163.0,207.18805970149253,147.6780487804878,365
1994,15538.0,220.10650887573965,157.70754716981133,365
1995,12187.0,209.4375,147.00943396226415,365
1996,14917.0,208.8440366972477,145.26190476190476,366
1997,12426.0,212.96491228070175,153.35545023696682,365
1998,28934.0,226.69325153374234,165.1531100478469,365
1999,21847.0,216.20845921450152,146.94230769230768,364
2000,22526.0,213.06990881458967,148.48756218905473,366
2001,27177.0,214.8662613981763,152.5601851851852,365
2002,16709.0,216.66969696969696,153.5686274509804,365
2003,28327.0,214.93910256410257,148.93103448275863,364
2004,22106.0,220.67246376811593,156.2093023255814,366
2006,24244.0,220.3223880597015,160.1552511415525,365
2007,22045.0,222.5670731707317,155.20975609756098,363
2008,26165.0,215.6565349544073,152.58744394618833,366
2009,27016.0,218.06990881458967,153.22169811320754,365
2010,25525.0,220.4952380952381,155.31308411214954,365
2011,24694.0,211.25471698113208,147.1933962264151,365
2012,23748.0,207.81376518218624,152.807881773399,365
2013,20580.0,216.74747474747474,149.60091743119267,365
2014,26766.0,215.60830860534125,150.8,365
2015,27400.0,217.3474320241692,155.45497630331752,365
2016,30608.0,223.94545454545454,161.19323671497585,365
2017,28503.0,212.92105263157896,145.09661835748793,364
2018,28409.0,216.28571428571428,153.4433962264151,363
2019,25894.0,220.1737804878049,156.77450980392157,364
2020,22534.0,224.12418300653596,153.67857142857142,349
2021,28405.0,222.45426829268294,157.58415841584159,354
2022,22462.0,219.0778097982709,154.1219512195122,359
2023,10824.0,210.31007751937983,150.13496932515338,277
2024,21451.0,229.1150442477876,172.6551724137931,249
