DATE,PRCP,TMAX,TMIN,NROWS
1983,0.0,343.3333333333333,242.84615384615384,57
1984,0.0,314.16129032258067,193.7751937984496,222
1985,0.0,340.2542372881356,203.5343137254902,256
1986,0.0,329.57894736842104,157.52631578947367,92
1987,0.0,329.66265060240966,201.46527777777777,196
1988,0.0,313.05128205128204,202.51627906976745,312
1989,0.0,319.8743961352657,194.09767441860464,289
1990,1241.0,305.18918918918916,197.3302752293578,335
1991,1110.0,308.093567251462,195.94152046783626,238
1992,30.0,296.6864406779661,183.8515625,197
1993,1140.0,290.6777777777778,175.33962264150944,162
1994,1070.0,324.01785714285717,208.08173076923077,278
1995,20.0,315.68243243243245,192.16943521594683,363
1996,3767.0,316.717868338558,197.97952218430035,362
1997,446.0,311.2158054711246,188.65116279069767,363
1998,170.0,324.2124183006536,204.38709677419354,359
1999,0.0,324.55194805194805,199.29390681003585,362
2000,614.0,323.29323308270676,206.03861003861005,333
2001,682.0,322.4375,200.62105263157895,360
2002,411.0,309.56306306306305,200.67910447761193,350
2003,195.0,281.4149659863946,165.1764705882353,338
2004,1203.0,317.4212765957447,200.28514056224898,339
2005,131.0,314.8565737051793,199.725,345
2006,1201.0,317.3322884012539,200.59259259259258,365
2007,102.0,317.52037617554856,205.01700680272108,363
2008,562.0,319.1196013289036,202.94059405940595,357
2009,20.0,321.364,206.704280155642,324
2010,2234.0,330.31666666666666,208.8996282527881,343
2011,579.0,322.12307692307695,205.64044943820224,351
2012,177.0,319.74716981132076,209.24175824175825,338
2013,91.0,319.0788643533123,203.95286195286195,340
2014,263.0,318.27190332326285,205.1723076923077,335
2015,490.0,324.8898305084746,212.9650655021834,242
2016,0.0,197.85714285714286,105.25,8
2017,33.0,324.3478260869565,215.69642857142858,66
2018,428.0,330.23214285714283,184.8796992481203,240
2019,139.0,310.76,171.42857142857142,193
2020,84.0,332.13513513513516,171.82857142857142,91
2021,36.0,376.64444444444445,216.0,229
2022,0.0,274.1111111111111,108.8,78
2023,0.0,364.05882352941177,275.5,237
2024,0.0,377.3333333333333,139.0,220
