DATE,PRCP,TMAX,TMIN,NROWS
1936,820.0,,,59
1937,5599.0,,,356
1938,6224.0,,,359
1939,4325.0,,,356
1940,6121.0,,,278
1941,6322.0,,,343
1942,5844.0,,,342
1943,4626.0,,,363
1944,5861.0,,,365
1945,3869.0,,,363
1946,8239.0,,,355
1947,7461.0,,,361
1948,5340.0,,,363
1949,5345.0,,,352
1950,5054.0,,,360
1951,4618.0,,,358
1952,6342.0,,,359
1953,4920.0,,,360
1954,6534.0,,,361
1955,5056.0,,,355
1956,6237.0,,,359
1957,7013.0,,,365
1958,6489.0,,,355
1959,5413.0,-44.5,-222.21428571428572,356
1960,9049.0,106.6,-72.2,366
1961,5910.0,,,361
1962,3614.0,,39.0,357
1963,4845.0,,,352
1964,4817.0,,,352
1965,5509.0,,,356
1966,7688.0,,,362
1967,5170.0,,,352
1968,5574.0,,,365
1969,6794.0,,,365
1970,5158.0,,,349
1971,6913.0,,,365
1972,7477.0,,,365
1973,6517.0,,,364
1974,3921.0,35.26315789473684,,364
1975,6029.0,-134.44444444444446,,365
1976,6374.0,,,366
1977,5057.0,,,245
1978,5866.0,,,365
1979,6655.0,,,365
1980,5511.0,,,366
1981,4696.0,,,365
1982,5247.0,,,335
1983,6646.0,,,365
1984,6547.0,,,366
1985,5636.0,,,365
1986,2521.0,,,242
2018,0.0,138.1352657004831,-23.02285714285714,223
2019,0.0,95.49850746268656,-52.05338078291815,363
2020,0.0,103.65527065527066,-59.54112554112554,366
2021,0.0,103.63392857142857,-65.94166666666666,361
2022,0.0,99.74480712166172,-71.21311475409836,365
2023,0.0,99.94476744186046,-46.11203319502075,365
2024,0.0,125.28571428571429,-44.74603174603175,288
