DATE,PRCP,TMAX,TMIN,NROWS
1994,3318.0,,130.5793650793651,136
1995,4207.0,251.11023622047244,109.00714285714285,332
1996,5791.0,236.0314465408805,111.68070175438596,356
1997,5839.0,225.03257328990227,96.83566433566433,345
1998,3498.0,247.74489795918367,108.71698113207547,334
1999,426.0,247.05295950155764,107.87043189368771,353
2000,5022.0,239.1279761904762,103.53125,360
2001,3189.0,244.5157593123209,107.93498452012383,364
2002,6238.0,239.4,99.2972027972028,353
2003,6770.0,237.4281045751634,104.43050847457627,359
2004,5088.0,180.64670658682635,58.515151515151516,180
2005,3161.0,219.8108108108108,89.47679324894514,321
2006,2995.0,235.0506329113924,91.89930555555556,341
2007,3561.0,226.80575539568346,93.51821862348179,302
2008,1802.0,260.24444444444447,112.2970711297071,297
2009,7438.0,235.34393063583815,103.0578231292517,359
2010,4716.0,262.98285714285714,119.55400696864112,363
2011,6768.0,230.38095238095238,97.15789473684211,356
2012,8853.0,237.01162790697674,111.21875,363
2013,5584.0,240.4865671641791,104.6415770609319,356
2014,3256.0,240.4868035190616,98.27240143369175,360
2015,5154.0,252.14802631578948,112.96442687747036,319
2016,3741.0,257.60550458715596,110.47142857142858,350
2017,2164.0,199.9262295081967,68.90598290598291,161
2018,1805.0,126.92592592592592,56.608695652173914,28
2019,9844.0,235.6086956521739,101.9795918367347,322
2020,6679.0,250.71597633136093,109.32167832167832,353
2021,3954.0,250.56965944272446,101.89682539682539,344
2022,488.0,225.64335664335664,87.78125,165
2023,645.0,225.27777777777777,91.45454545454545,27
