DATE,PRCP,TMAX,TMIN,NROWS
1959,5502.0,-1.0,1.6666666666666667,362
1960,7292.0,-22.0,,365
1961,7333.0,209.75,122.0,363
1962,7729.0,,,364
1963,7977.0,,,361
1964,4824.0,,,360
1965,7300.0,,,362
1966,7626.0,,,315
1967,9205.0,,,365
1968,6269.0,,,360
1969,7087.0,,,364
1970,7952.0,,,365
1971,6753.0,,,365
1972,8397.0,,,364
1973,7095.0,,,302
1974,10122.0,,,364
1975,5466.0,,,365
1976,6614.0,,,332
1977,8218.0,,,365
1978,8657.0,,,365
1979,8599.0,,,365
1980,9703.0,,,366
1981,11267.0,,,365
1982,5305.0,,,365
1983,8164.0,,,365
1984,8133.0,,,366
1985,8840.0,,,365
1986,8569.0,,,365
1987,7609.0,,,334
2022,1682.0,205.78378378378378,32.01136363636363,239
2023,1239.0,139.80281690140845,56.93103448275862,356
2024,970.0,185.4468085106383,69.38647342995169,281
