DATE,PRCP,TMAX,TMIN,NROWS
1990,1717.0,270.2083333333333,153.94117647058823,68
1991,2771.0,248.51162790697674,146.64315352697096,340
1992,1391.0,255.09558823529412,147.675,339
1993,1967.0,258.7237354085603,156.17543859649123,328
1994,2300.0,238.93006993006992,135.68333333333334,213
1995,2076.0,255.72384937238493,168.12322274881515,306
1996,2629.0,252.58620689655172,155.69633507853402,303
1997,1691.0,251.61943319838056,161.37719298245614,334
1998,1602.0,251.11313868613138,163.86746987951807,347
1999,630.0,259.456,165.55707762557077,331
2000,1466.0,260.44615384615383,150.52155172413794,330
2001,1528.0,267.0472440944882,166.765873015873,324
2002,988.0,249.64835164835165,147.88741721854305,235
2003,1310.0,260.58415841584156,165.0952380952381,162
2004,325.0,276.5,175.8230769230769,209
2005,3659.0,250.58798283261802,158.53658536585365,313
2006,2209.0,252.6590909090909,157.0,277
2007,5555.0,260.34285714285716,161.00706713780917,358
2008,3616.0,255.1873015873016,160.37906137184115,357
2009,3417.0,255.68770764119603,162.6600790513834,337
2010,1164.0,273.4152823920266,181.51340996168582,353
2011,1594.0,200.66666666666666,118.76271186440678,86
2012,808.0,281.1173469387755,197.65584415584416,234
2013,1997.0,264.67540983606557,181.86379928315412,353
2014,1290.0,243.72916666666666,153.3494623655914,240
2015,960.0,275.15384615384613,197.3613445378151,197
2016,800.0,251.49579831932772,170.97391304347826,190
2017,525.0,257.16831683168317,172.89719626168224,159
2018,291.0,256.6984126984127,173.92307692307693,171
2019,816.0,270.46382978723403,186.24742268041237,284
2020,2509.0,206.2,150.82558139534885,132
2021,917.0,245.5,133.57142857142858,333
2022,4450.0,258.0,179.0,357
2023,2147.0,302.6095890410959,203.39837398373984,339
2024,1568.0,278.80176211453744,193.74056603773585,282
