DATE,PRCP,TMAX,TMIN,NROWS
1973,0.0,155.0,67.5,10
1975,1308.0,145.2325581395349,41.64705882352941,97
1976,3138.0,66.50485436893204,-12.3,120
1977,2065.0,142.59668508287294,39.876543209876544,199
1978,3587.0,116.27586206896552,22.54901960784314,175
1979,6970.0,123.7448559670782,33.361702127659576,278
1980,3622.0,118.98477157360406,21.933701657458563,214
1981,1053.0,107.17948717948718,16.38888888888889,85
1982,934.0,73.54716981132076,-15.94,65
1983,0.0,25.0,,1
1985,0.0,12.0,-79.0,1
1986,79.0,84.16666666666667,-1.7142857142857142,7
1987,51.0,64.25,-15.333333333333334,4
1988,493.0,192.86885245901638,48.97142857142857,76
1989,510.0,133.87254901960785,32.35443037974684,148
1990,1167.0,141.1764705882353,23.466101694915253,194
1991,967.0,132.9738219895288,22.886363636363637,254
1992,2155.0,137.31627906976743,26.382488479262673,259
1993,1789.0,133.88888888888889,32.13297872340426,255
1994,1463.0,142.2214765100671,41.948905109489054,174
1995,706.0,87.3409090909091,8.0,63
1996,1151.0,146.96503496503496,58.443396226415096,201
1997,456.0,130.24460431654677,40.22115384615385,175
1998,4882.0,121.08900523560209,30.44047619047619,231
1999,3182.0,142.41836734693877,50.32642487046632,239
2000,2192.0,143.04329004329006,38.229665071770334,273
2001,3001.0,133.32558139534885,35.50218340611354,282
2002,3884.0,124.85267857142857,37.17821782178218,251
2003,4063.0,125.00806451612904,26.355555555555554,273
2004,7782.0,124.94615384615385,36.2563025210084,295
2005,2891.0,54.0,-24.125,85
2006,2712.0,137.11258278145695,31.814814814814813,187
2007,3464.0,137.6125,43.228699551569505,270
2008,3925.0,141.28158844765343,43.3768115942029,311
2009,6454.0,139.65543071161048,45.462151394422314,296
2010,8353.0,126.5958904109589,40.69924812030075,325
2011,3706.0,138.1017543859649,35.62724014336918,324
2012,5743.0,144.40133779264215,38.71180555555556,326
2013,4628.0,131.9726962457338,38.35019455252918,314
2014,4878.0,138.75737704918032,41.049668874172184,339
2015,6448.0,142.9795918367347,37.56884057971015,325
2016,11120.0,139.79365079365078,39.262411347517734,345
2017,7680.0,132.69182389937106,34.31921824104234,353
2018,7131.0,147.66903914590748,49.151624548736464,324
2019,7919.0,142.57194244604315,40.41732283464567,306
2020,2033.0,100.70454545454545,-6.227848101265823,102
2021,4640.0,160.30263157894737,48.853658536585364,278
2022,2285.0,162.16,49.832,175
2023,6218.0,150.48287671232876,51.0,350
2024,5748.0,175.37387387387386,58.16571428571429,275
