DATE,PRCP,TMAX,TMIN,NROWS
1948,0.0,,,1
1949,6469.0,,,365
1950,4658.0,,,365
1951,6432.0,,,364
1952,3932.0,,,366
1953,3453.0,,,365
1954,6736.0,,,365
1955,6429.0,,,365
1956,5316.0,,,366
1957,4941.0,,,365
1958,5982.0,,,365
1959,6524.0,,,365
1960,6093.0,,,366
1961,4408.0,,,365
1962,7106.0,,,365
1963,7511.0,,,365
1964,6703.0,,,366
1965,5178.0,,,365
1966,5420.0,,,365
1967,4707.0,,,365
1968,5248.0,,,366
1969,4782.0,,,365
1970,5425.0,,,365
1971,4819.0,,,365
1972,6143.0,,,366
1973,6950.0,,,365
1974,5891.0,,,365
1975,5176.0,,,365
1976,6436.0,,,366
1977,4161.0,,,365
1978,5720.0,,,365
1979,7142.0,,,365
1980,6399.0,,,366
1981,8070.0,,,365
1982,4757.0,122.34408602150538,22.59090909090909,365
1983,6434.0,,,365
1984,4741.0,,,366
1985,5009.0,,,365
1986,5278.0,,,365
1987,4199.0,,,365
1988,2990.0,,,366
1989,4666.0,,,365
1990,3612.0,,,365
1991,4526.0,216.5148514851485,104.77464788732394,365
1992,4110.0,168.82530120481928,61.31617647058823,366
1993,3415.0,184.8814229249012,61.87603305785124,365
1994,3442.0,202.94594594594594,82.43722943722943,365
1995,1016.0,44.0,1.0,365
1996,599.0,226.59047619047618,109.82882882882883,366
1997,447.0,,,365
1998,513.0,,,365
1999,511.0,225.02409638554218,104.43506493506493,365
2000,2806.0,188.0433436532508,69.69310344827586,366
2001,4030.0,202.55595667870037,81.60245901639344,365
2002,6616.0,174.80246913580248,69.3082191780822,365
2003,5345.0,172.2120253164557,68.60583941605839,365
2004,5875.0,177.77914110429447,68.07094594594595,366
2005,5183.0,107.87903225806451,7.147058823529412,365
2006,4449.0,185.56206896551726,70.04280155642023,365
2007,5985.0,185.67469879518072,72.2320819112628,365
2008,4313.0,185.6165191740413,74.72131147540983,366
2009,6576.0,178.65970149253732,74.70547945205479,365
2010,7476.0,177.6219512195122,78.07457627118644,365
2011,3997.0,177.25222551928783,69.85761589403974,365
2012,5645.0,184.78571428571428,71.51194539249147,366
2013,5669.0,178.03765690376568,73.54455445544555,365
2014,8014.0,179.92285714285714,78.99342105263158,365
2015,6838.0,179.85470085470087,70.03571428571429,365
2016,5367.0,187.85294117647058,73.98026315789474,366
2017,4597.0,187.45892351274787,69.33656957928802,365
2018,5881.0,190.51026392961876,80.0551948051948,365
2019,5353.0,185.45345345345345,74.28571428571429,365
2020,5674.0,186.838905775076,72.69565217391305,366
2021,5111.0,184.62379421221866,71.86813186813187,356
2022,4059.0,181.39788732394365,64.73529411764706,331
2023,6690.0,190.46546546546546,74.6963696369637,362
2024,3215.0,218.4903474903475,93.0,283
