DATE,PRCP,TMAX,TMIN,NROWS
1988,305.0,281.6923076923077,219.33333333333334,13
1989,4642.0,297.54954954954957,232.1478260869565,248
1990,4182.0,304.68059701492535,232.2994011976048,359
1991,8140.0,307.7361963190184,234.8167701863354,364
1992,5043.0,311.98579545454544,232.5216049382716,361
1993,7209.0,292.0960854092527,229.71428571428572,346
1994,3106.0,289.6470588235294,231.2974358974359,262
1995,3386.0,301.10309278350513,239.26063829787233,221
1996,7327.0,290.3421926910299,234.448132780083,361
1997,4890.0,307.3157894736842,232.03070175438597,360
1998,4546.0,313.4605263157895,224.02631578947367,359
1999,2179.0,288.296875,212.15625,333
2000,5984.0,288.76438356164385,215.07417582417582,366
2001,5322.0,287.9698630136986,218.04383561643834,365
2002,6093.0,301.4657534246575,214.2958904109589,365
2003,5128.0,309.92602739726027,215.8,365
2004,6243.0,311.88493150684934,214.65479452054794,366
2005,5287.0,311.03561643835616,216.89285714285714,365
2006,6050.0,306.7664835164835,216.95890410958904,365
2007,7672.0,304.82246376811594,217.06159420289856,345
2008,7280.0,311.04918032786884,215.20491803278688,366
2009,6144.0,314.4019607843137,215.5653594771242,360
2010,6403.0,305.7293729372937,206.9042904290429,355
2011,6264.0,319.15342465753423,222.9041095890411,365
2012,4020.0,315.03005464480873,218.7295081967213,366
2013,4129.0,322.79939209726444,219.4012158054711,357
2014,6933.0,319.6283987915408,214.40181268882176,356
2015,2424.0,325.6804733727811,223.07988165680473,354
2016,2216.0,328.844776119403,224.90149253731343,362
2017,7202.0,325.0733137829912,219.96774193548387,364
2018,3735.0,322.0523076923077,218.3446153846154,363
2019,6322.0,330.590625,222.134375,363
2020,15187.0,324.8056537102473,224.74911660777386,355
2021,6257.0,317.01255230125525,218.02092050209205,322
2022,5798.0,317.0708333333333,213.575,304
2023,2678.0,330.5397489539749,218.32217573221757,318
2024,4681.0,339.1684210526316,226.9578947368421,282
