DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,770.0,69.13576158940397,-103.9609756097561,364,1.0
2001,808.0,65.94098360655738,-100.47441860465116,365,1.0493506493506493
2002,695.0,78.32013201320132,-107.64414414414416,361,0.8601485148514851
2003,1704.0,55.577181208053695,-111.41818181818182,362,2.451798561151079
2004,297.0,74.57366771159874,-94.8048780487805,364,0.1742957746478873
2005,1474.0,73.1268436578171,-122.8913043478261,365,4.962962962962963
2006,958.0,78.62824207492795,-104.21658986175116,365,0.649932157394844
2007,1254.0,94.94202898550724,-78.88311688311688,364,1.3089770354906054
2008,2052.0,80.52285714285715,-97.41810344827586,366,1.6363636363636365
2009,2143.0,64.30252100840336,-121.50643776824036,365,1.0443469785575048
2010,531.0,57.04775280898876,-115.5,365,0.24778348110125992
2011,1493.0,61.250696378830085,-125.38812785388129,365,2.8116760828625234
2012,1015.0,46.03072625698324,-135.43668122270742,366,0.679839249832552
2013,829.0,61.52924791086351,-123.26785714285714,365,0.8167487684729065
2014,1447.0,78.60833333333333,-101.83829787234042,365,1.7454764776839566
2015,632.0,81.22714681440443,-101.9662447257384,365,0.4367657221838286
2016,1131.0,61.502793296089386,-107.16,366,1.7895569620253164
2017,574.0,72.24166666666666,-102.008547008547,365,0.5075154730327144
2018,1591.0,71.51549295774647,-101.34389140271492,363,2.7717770034843205
2019,1935.0,78.7182320441989,-95.8713692946058,365,1.2162162162162162
2020,2408.0,71.39058171745152,-94.96551724137932,366,1.2444444444444445
2021,692.0,77.35612535612536,-92.25560538116592,361,0.287375415282392
2022,1753.0,64.20994475138122,-107.59565217391304,365,2.5332369942196533
2023,1334.0,61.53295128939829,-99.04782608695652,365,0.7609811751283514
