DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,1386.0,284.8588235294118,101.12941176470588,123,1.0
2001,1357.0,289.2148148148148,97.54074074074074,197,0.9790764790764791
2002,483.0,275.6706586826347,77.35329341317366,262,0.3559322033898305
2003,381.0,297.75333333333333,97.59333333333332,248,0.7888198757763976
2004,1629.0,268.1102362204724,84.25196850393701,181,4.275590551181103
2005,2076.0,278.8779342723005,83.28169014084507,329,1.274401473296501
2006,1482.0,281.5458515283843,84.76419213973799,333,0.7138728323699421
2007,2918.0,277.2277227722772,78.73762376237623,327,1.9689608636977058
2008,2510.0,276.89867841409693,80.20264317180617,349,0.860178204249486
2009,1615.0,278.39903846153845,75.07211538461539,321,0.6434262948207171
2010,1883.0,289.062893081761,88.99371069182389,279,1.1659442724458204
2011,1379.0,279.7516339869281,75.02614379084967,325,0.7323420074349443
2012,1657.0,289.21276595744683,88.42021276595744,344,1.201595358955765
2013,1874.0,285.92957746478874,93.0093896713615,352,1.1309595654797828
2014,3457.0,296.19565217391306,100.60326086956522,312,1.8447171824973319
2015,1997.0,294.08878504672896,96.50467289719626,342,0.5776684986982933
2016,3082.0,281.4094827586207,85.09482758620689,362,1.543314972458688
2017,3087.0,295.7149122807017,88.79385964912281,364,1.001622323166775
2018,2822.0,281.7136563876652,88.97356828193833,358,0.9141561386459346
2019,2997.0,280.3305084745763,88.94491525423729,362,1.0620127569099929
2020,855.0,296.635593220339,93.3177966101695,351,0.2852852852852853
2021,2367.0,282.72072072072075,94.15765765765764,323,2.768421052631579
2022,2820.0,274.15384615384613,85.36538461538461,337,1.191381495564005
2023,901.0,290.3646408839779,91.1878453038674,314,0.31950354609929077
